num_timesteps,total_reward,fell
360,177.99655065,True
37,-117.4184049,True
128,-32.2492327385,True
214,-9.47843470613,True
65,-84.7790342071,True
99,-1.10413739035,True
71,-33.6309384985,True
1001,912.007210342,False
75,-76.1990030231,True
78,-43.7034228268,True
78,-80.5815420907,True
1001,1045.8937586,False
95,-37.8857903014,True
1001,68.5233147792,False
1001,24.0387199652,False
1001,-30.4498748861,False
150,-70.6590420455,True
652,122.526372665,True
1001,580.040218392,False
1001,811.321130814,False
1001,477.752996826,False
1001,408.484431608,False
1001,221.730031685,False
1001,402.510265745,False
1001,275.620492519,False
1001,385.61571039,False
1001,302.381191375,False
83,-41.5770289626,True
1001,128.609108411,False
1001,42.8550983954,False
1001,48.854734864,False
1001,91.5726476404,False
1001,86.4612597459,False
1001,73.2744139268,False
1001,-66.3554317312,False
65,-106.425031613,True
1001,1.66408335757,False
1001,216.070435581,False
1001,243.559918279,False
1001,250.262444641,False
1001,114.437921175,False
1001,61.3390217315,False
1001,85.4545909008,False
1001,68.1987333522,False
1001,429.925056539,False
55,-99.7826616038,True
1001,522.781367024,False
1001,845.154028399,False
1001,1081.72618176,False
420,1166.62060139,True
153,211.080900643,True
58,35.0127545387,True
124,102.199273896,True
61,-24.3399819622,True
46,4.764992463,True
53,23.9211559018,True
102,120.873826434,True
70,205.519671005,True
69,-124.255883167,True
104,107.871786029,True
66,127.037979275,True
148,221.539206117,True
58,92.4553667929,True
44,-8.07612530132,True
69,192.278451636,True
59,79.2347216222,True
113,272.266497571,True
1001,951.249119613,False
1001,-2.6039124662,False
54,-118.357075536,True
1001,966.977890965,False
1001,534.210512826,False
1001,477.887350744,False
1001,502.22508572,False
1001,969.823549927,False
1001,640.560974262,False
1001,609.632437402,False
1001,960.383023515,False
1001,950.138553141,False
1001,900.140451301,False
648,161.011493871,True
1001,-13.3624082094,False
1001,732.338182116,False
1001,531.488091392,False
1001,410.316615197,False
1001,138.922696196,False
1001,277.166220734,False
1001,168.015271121,False
1001,382.038028492,False
1001,328.466851291,False
1001,152.170954655,False
1001,270.243806707,False
1001,458.149914967,False
1001,223.866273614,False
1001,292.933096072,False
1001,240.442024868,False
1001,53.1008805899,False
1001,350.413481075,False
1001,318.07257721,False
1001,254.195566951,False
63,-87.9143504817,True
1001,325.763250638,False
1001,125.233955539,False
1001,507.666212592,False
1001,411.080363519,False
81,-106.480340398,True
1001,73.3655497159,False
66,29.6244020387,True
101,-59.4789307504,True
1001,192.448638281,False
1001,115.882702436,False
1001,132.567135498,False
1001,73.4586348794,False
1001,167.114591261,False
1001,207.313739786,False
1001,300.751971348,False
1001,175.621387103,False
1001,175.585896046,False
1001,221.804676382,False
1001,250.805161715,False
1001,253.168997205,False
1001,129.653603015,False
52,-117.586245494,True
92,-111.427159309,True
1001,90.0958041068,False
1001,209.186508132,False
1001,228.068219071,False
1001,161.365240796,False
1001,215.449351771,False
1001,331.849662292,False
60,-70.8692792158,True
61,-103.618540227,True
1001,382.040935366,False
1001,481.712390736,False
1001,798.874647021,False
1001,996.003356645,False
1001,1340.02896586,False
1001,1377.20631472,False
1001,1170.818693,False
138,-86.2385175173,True
71,-112.515519453,True
71,-113.968826479,True
1001,1009.36421774,False
1001,1451.11880428,False
50,-90.5505991496,True
59,-76.2473148832,True
1001,1446.04135047,False
965,2106.80814769,True
99,-11.6257605592,True
1001,1014.26163801,False
1001,1435.77357274,False
1001,1008.74204845,False
316,374.406384563,True
1001,1163.55511055,False
1001,290.540499356,False
1001,191.310278532,False
1001,191.327116905,False
1001,182.962559552,False
164,-0.28039323048,True
1001,303.355596506,False
405,224.846453957,True
1001,338.729934926,False
870,251.976606816,True
845,473.546933419,True
85,96.1810768161,True
126,356.051302896,True
216,113.269781104,True
161,221.447208525,True
53,-107.184870612,True
108,198.436901309,True
45,-107.514948778,True
220,111.666340132,True
45,-103.862345202,True
466,682.419154116,True
97,-88.7208734026,True
470,251.828324891,True
338,570.2244221,True
892,813.845657933,True
216,4.17947908148,True
132,-54.5628701762,True
137,334.707251739,True
1001,342.726603798,False
594,203.920464662,True
580,68.7092388064,True
320,218.096867624,True
1001,680.95191809,False
518,212.761562303,True
119,130.008804146,True
89,117.013470521,True
297,41.8583652135,True
1001,201.309563767,False
82,56.1421567705,True
87,102.355839662,True
101,108.835136717,True
1001,336.12388763,False
113,49.9266781242,True
1001,71.4565146435,False
63,58.2214094414,True
1001,216.947118941,False
1001,391.219499186,False
1001,401.062952655,False
117,51.9455833936,True
103,56.4560088789,True
152,177.288500071,True
184,209.777279371,True
379,271.25434966,True
1001,558.001616508,False
1001,251.60775303,False
1001,100.719395936,False
1001,280.621648958,False
95,137.845643897,True
1001,174.828491838,False
1001,180.180490734,False
1001,166.009070406,False
1001,390.151553344,False
1001,230.38717516,False
1000,262.371966814,True
107,170.68655545,True
56,29.1095442396,True
90,47.3681348012,True
63,169.350795726,True
