num_timesteps,total_reward,fell
360,177.99655065,True
37,-117.4184049,True
243,341.336286306,True
1001,1115.65061438,False
85,-120.265656477,True
39,-108.75304859,True
1001,978.960101559,False
1001,172.360187867,False
1001,-91.8016332732,False
99,-111.019205704,True
91,-119.862939304,True
885,-33.9640071945,True
60,-118.982834388,True
627,-170.989171265,True
115,-43.0932405678,True
101,-80.9282496306,True
646,-71.8079349667,True
103,-124.189998463,True
176,-117.154615362,True
144,-33.2669851637,True
114,16.1090388294,True
116,-7.05147544983,True
75,-120.849960059,True
121,-127.813575938,True
83,-47.489358976,True
62,-82.1998882387,True
125,-112.222856626,True
151,-76.3945451446,True
104,-29.4295257027,True
117,-9.78459800269,True
159,17.9558702943,True
544,23.890806223,True
63,-70.8636983247,True
164,16.4545568963,True
103,-123.335339936,True
104,-37.3624987114,True
84,-81.0204137191,True
131,-11.2646372493,True
659,-46.0334415691,True
107,-93.4162722302,True
92,-24.6721592751,True
183,-118.107540009,True
85,-15.241362039,True
130,48.6822696164,True
103,-21.407990392,True
53,-118.048066459,True
95,-46.4511645955,True
57,-102.48659264,True
85,53.9941010711,True
151,-58.8184886233,True
106,-23.5410554998,True
52,-112.577897409,True
249,-78.2489923121,True
270,-52.0462742949,True
101,-42.5337298609,True
199,-15.7497725079,True
246,-36.965911049,True
185,-109.180626932,True
111,-109.422559651,True
548,-143.141944521,True
41,-112.651948289,True
118,-92.4260923029,True
44,-113.417374796,True
1001,119.732129948,False
1001,15.6345991401,False
1001,130.930958672,False
138,81.002404369,True
1001,34.0217537876,False
1001,25.0967677847,False
551,2.96080954501,True
610,-88.5147593624,True
864,-192.92241541,True
784,-136.695830329,True
105,-8.4245318519,True
127,-38.1305859311,True
70,-110.396518278,True
191,36.9971464716,True
113,36.1152207686,True
83,-103.955069303,True
90,-105.667301318,True
800,-67.812179523,True
559,-138.163163783,True
119,-69.679180001,True
95,-85.9626423763,True
671,-86.4447304264,True
93,-32.8847353944,True
119,38.7887914769,True
58,-96.2103785739,True
243,-143.924236584,True
1001,104.513346831,False
70,-116.985747041,True
1001,249.73444618,False
107,-17.8824806529,True
74,-121.165807875,True
887,-31.9068207385,True
99,-124.444204327,True
1001,206.781415805,False
110,-8.96652068185,True
1001,230.590749479,False
90,-52.963164394,True
1001,185.066459903,False
623,-68.1184692862,True
88,-36.0029297493,True
103,-70.5633410921,True
1001,139.341239856,False
89,-122.407315982,True
88,-74.0818649785,True
130,-92.7412490228,True
101,138.144682943,True
694,-117.318584175,True
470,-139.902726924,True
224,-51.1820991508,True
108,-104.736411364,True
101,-78.8936346073,True
443,20.7281343551,True
137,81.4975389944,True
386,-60.6903001293,True
112,-16.5683994251,True
181,61.3718551309,True
1001,175.660544288,False
1001,102.604693982,False
893,-96.6606773106,True
111,-49.5244884662,True
110,-106.59608528,True
834,-108.54961998,True
108,7.07911811653,True
128,-39.3533613014,True
196,2.04725052458,True
45,-117.847057327,True
198,6.93061620691,True
696,85.4089970426,True
610,-70.9746706138,True
513,34.907650162,True
618,-155.396281566,True
1001,594.452786299,False
145,-34.0333824974,True
134,90.8241028686,True
207,295.700546998,True
134,0.0407780150015,True
117,-20.9980465517,True
116,94.3710874286,True
583,530.709001579,True
1001,1202.66562828,False
287,331.973890387,True
277,194.79018383,True
126,60.5562831249,True
183,208.838428682,True
91,4.9453275564,True
39,-107.389228875,True
114,135.445332082,True
352,-6.02302396412,True
53,-106.710254824,True
613,17.4114409549,True
79,-8.42580449641,True
76,115.694563347,True
103,-31.3627602723,True
88,-40.4385413322,True
100,22.3576228251,True
1001,195.528878764,False
110,-65.9445209792,True
60,-106.951717364,True
113,50.1889937917,True
85,-35.5512017781,True
592,-154.62574918,True
150,162.070522075,True
95,-76.8699743137,True
62,-106.070989611,True
146,-32.5905630978,True
116,60.1914734288,True
145,63.2849513683,True
107,187.5187686,True
447,21.5870533901,True
396,-147.899661784,True
101,12.1677861918,True
145,120.459147026,True
94,-97.774628055,True
91,21.8618466263,True
106,21.5876899517,True
251,158.488090763,True
93,119.775795757,True
106,18.0570833534,True
177,101.999637539,True
137,72.2662801804,True
143,127.209802916,True
274,53.7948954995,True
318,-47.9019131351,True
67,16.5498408412,True
188,25.3683109777,True
858,-118.645028495,True
752,-120.876698333,True
825,-199.372551468,True
517,132.458346411,True
56,-118.626781965,True
74,167.589580026,True
249,602.154295551,True
114,29.4164989478,True
59,116.2375728,True
59,22.1768172441,True
82,142.161078709,True
188,1067.95103538,True
141,84.5210904203,True
77,129.141637951,True
90,163.069601021,True
107,262.053130071,True
112,243.267850734,True
61,-9.10527724855,True
124,-14.9758732291,True
89,-14.1353958165,True
131,98.1145235376,True
150,182.22111174,True
406,183.873808374,True
96,91.1332347139,True
114,187.79947955,True
148,148.981750481,True
110,-128.96690164,True
373,-99.0961114022,True
1001,540.686003664,False
266,183.627662778,True
93,-6.62870534653,True
110,327.114495655,True
