num_timesteps,total_reward,fell
67,-87.8072029549,True
97,-22.7892113286,True
103,-26.0205461887,True
89,-102.742475937,True
73,-83.1890043242,True
138,-108.525175827,True
1001,539.20362936,False
83,-124.378714645,True
256,71.1621479064,True
202,262.874562745,True
44,-120.129835692,True
84,-115.660071726,True
138,-110.272077597,True
43,-121.125658495,True
40,-117.461312932,True
40,-115.193725258,True
83,-119.04589497,True
41,-114.117306408,True
43,-121.837570587,True
54,-118.891723231,True
52,-114.81001244,True
57,-71.4175444814,True
52,-119.1317378,True
46,-119.81127915,True
69,-110.777699261,True
132,-113.376381417,True
89,-123.345563408,True
70,-112.029900738,True
44,-116.825808966,True
45,-115.16191224,True
46,-114.946615678,True
43,-119.368337958,True
95,-110.34165,True
77,-88.0485446251,True
37,-114.865958769,True
59,-74.6925663777,True
41,-115.693606698,True
46,-120.900395599,True
44,-120.298651181,True
38,-110.234242332,True
38,-110.905049122,True
55,-106.354421636,True
129,-128.336511853,True
41,-111.724339006,True
56,-119.966375897,True
51,-105.333045796,True
79,-122.042678389,True
45,-109.264289793,True
56,-109.701926513,True
50,-81.6510001827,True
69,-102.636298932,True
54,-108.839853061,True
55,-95.3798721119,True
49,-109.363367456,True
67,-99.4424837972,True
46,-109.952162118,True
86,-85.4034832241,True
60,-116.961234287,True
84,-100.669956113,True
50,-103.333184371,True
59,-101.296032357,True
67,-84.6363539143,True
58,-105.010983792,True
87,-10.0949536539,True
1001,696.305421507,False
1001,540.988646008,False
40,-111.443354021,True
179,-15.3388648438,True
70,-109.407618044,True
952,795.726322308,True
52,-90.4825600454,True
54,-117.243675598,True
83,49.4485873986,True
99,159.025587727,True
135,49.8682882728,True
84,170.132223219,True
110,-24.4703780604,True
66,-123.736349983,True
71,-2.52797417463,True
71,-23.0722125633,True
120,-17.8600460388,True
88,22.9702258812,True
93,37.4707901265,True
65,145.160191602,True
62,1.39050670411,True
75,-122.086146854,True
54,-0.773984150266,True
106,35.2444694379,True
45,-87.6163598802,True
55,-7.12988980285,True
60,-5.89626348632,True
89,311.24480999,True
56,32.7136090043,True
74,24.2907583866,True
65,147.768130999,True
91,29.3293678947,True
59,-120.616188739,True
71,-20.1955981531,True
78,-7.54619030036,True
96,97.1789777339,True
79,-80.7037338874,True
38,-113.786427037,True
94,98.2558118208,True
62,-121.172128683,True
70,9.95903207343,True
161,59.28748443,True
62,-113.80951811,True
76,55.4351640218,True
136,195.839809488,True
77,-125.178726576,True
68,-64.5697691202,True
55,-17.4888182372,True
101,-89.3876832717,True
94,-0.525977252609,True
723,404.969192254,True
59,-112.972163603,True
54,-111.666078429,True
61,-102.059295429,True
61,-118.450357641,True
67,-87.2254190739,True
38,-112.655478528,True
45,-111.126503933,True
68,-111.621629354,True
714,645.760278337,True
48,-112.926120308,True
166,180.485323057,True
55,-81.6620914763,True
53,-94.0330766104,True
86,25.1754874448,True
469,175.46180306,True
66,-25.8116730866,True
61,-62.5088972572,True
81,-40.7029648523,True
143,283.644491974,True
79,-114.154764597,True
87,82.7046057683,True
86,-119.860887693,True
39,-86.5990113957,True
45,-102.711233466,True
52,-31.9694473246,True
53,19.9122061498,True
67,88.1200845343,True
69,-11.3987709629,True
60,-33.4178435123,True
76,-107.862729017,True
130,153.454924332,True
59,-23.7393322416,True
48,-94.3427903527,True
96,148.750369561,True
81,20.9852279539,True
44,-33.8624950882,True
181,227.395554734,True
208,155.468221812,True
206,27.6772445432,True
263,113.841093183,True
64,-53.4533836326,True
56,-13.5560407586,True
91,1.91269893278,True
70,35.8611289398,True
55,-101.709491619,True
62,44.0567936362,True
78,-123.751110329,True
46,-46.6554992932,True
53,-45.2819682042,True
50,-27.3175113197,True
43,-98.9220400853,True
42,-103.612703258,True
40,-89.8532971021,True
65,-6.53875294571,True
60,136.327988767,True
338,86.4828312969,True
72,65.9823303314,True
60,-8.66667105169,True
64,-85.0356981146,True
43,-86.6919460448,True
71,38.3082308483,True
59,-52.006033973,True
86,-121.055295081,True
60,183.717960744,True
59,103.852566562,True
72,88.0199024278,True
70,50.2597485634,True
416,380.393467719,True
41,-101.146961879,True
130,27.7237804232,True
63,45.801455473,True
50,52.0521496459,True
70,60.3720675406,True
79,43.6360236547,True
178,94.3763514939,True
223,146.41915127,True
56,-42.1064959149,True
143,38.9662672847,True
152,36.1799795561,True
46,-97.1034963406,True
62,-51.064189597,True
52,-104.193018672,True
52,-36.6187392614,True
72,-65.3890149663,True
65,-52.6081933413,True
181,5.26812001817,True
95,-113.850880888,True
75,76.9510298139,True
163,194.844582733,True
50,-42.6829383242,True
60,-3.4364516806,True
192,115.061472016,True
174,164.154643309,True
118,85.217836673,True
41,-103.681974142,True
101,41.3339000925,True
153,110.94660957,True
59,-40.9410960233,True
109,-66.235938618,True
82,-35.2095071853,True
63,30.6222244894,True
105,-52.6280322124,True
104,8.17549125382,True
65,-48.0928204202,True
63,-108.753814135,True
99,-76.7839115996,True
343,267.566764588,True
47,-44.8173646209,True
394,297.842418973,True
130,199.134804662,True
