num_timesteps,total_reward,fell
65,31.8324384189,True
1001,717.827572632,False
57,-114.98329625,True
1001,714.7202006,False
86,87.135262483,True
105,139.966820688,True
198,259.299693921,True
68,-117.980164878,True
75,-66.3013073939,True
70,-116.92296249,True
1001,660.33202582,False
58,53.5719035754,True
60,-58.715034998,True
116,-115.686648994,True
71,199.667316043,True
1001,649.931735231,False
1001,789.39441234,False
1001,762.182629062,False
98,-107.16540747,True
1001,826.887190669,False
1001,778.657123974,False
58,-117.813590379,True
58,-97.2310884226,True
1001,762.107553307,False
84,207.506185655,True
70,60.4851895917,True
55,-81.1791976632,True
123,141.912136525,True
1001,896.437135779,False
1001,737.779573789,False
1001,685.64818147,False
73,193.179460836,True
103,180.911540752,True
1001,664.102716918,False
55,-82.1405240821,True
102,206.595802388,True
99,127.36021796,True
76,98.1620872087,True
75,-120.035887665,True
46,-109.556564116,True
1001,560.245889476,False
98,-88.4284939287,True
55,39.6763028829,True
1001,779.217533739,False
100,335.193010437,True
1001,795.780742779,False
1001,542.172511584,False
117,363.59281657,True
78,-122.799241187,True
1001,883.768916449,False
1001,918.431490543,False
89,20.9601634276,True
100,266.029693059,True
71,-103.398770281,True
1001,681.53467929,False
68,-113.070984853,True
99,41.0742439032,True
103,-28.9141864459,True
1001,886.246454663,False
73,-90.1521291168,True
1001,550.882674789,False
117,135.389108233,True
55,-103.284720045,True
1001,805.155858602,False
1001,962.224816586,False
121,220.963185482,True
84,-109.959642874,True
1001,712.406415088,False
72,150.877295715,True
75,-88.31827386,True
80,290.564856632,True
121,239.246748868,True
1001,682.417384499,False
1001,616.828938166,False
1001,902.470645476,False
1001,589.920999033,False
97,347.726872096,True
1001,637.095965803,False
64,8.32891969521,True
1001,800.818793484,False
202,-54.4184374768,True
103,219.506399628,True
1001,706.43665824,False
1001,678.117061726,False
82,248.818755768,True
63,-111.199016111,True
1001,786.903735655,False
59,-63.2645718868,True
51,-86.9958185792,True
107,-74.7903408868,True
84,231.961988219,True
1001,886.580167857,False
1001,505.694783818,False
105,-69.302590756,True
90,-47.860623541,True
76,314.943552609,True
72,45.5926800278,True
95,-90.7886866558,True
56,-80.0417445859,True
1001,671.881000187,False
194,-30.9012871387,True
61,101.302673632,True
61,-95.6579251973,True
73,191.606734856,True
64,-16.8172321711,True
63,104.622767091,True
79,158.112448175,True
69,-112.760753766,True
48,-75.6773646796,True
1001,844.621171481,False
1001,860.223377928,False
1001,704.468850986,False
49,-102.227112106,True
120,450.002224512,True
80,127.470449014,True
1001,783.515664751,False
85,-115.698915804,True
89,-50.1345174631,True
1001,685.730700596,False
134,178.767309982,True
