num_timesteps,total_reward,fell
65,31.8324384189,True
1001,717.827572632,False
57,-115.196069677,True
80,75.9387035154,True
58,-11.1377149026,True
1001,649.229866382,False
96,241.568508154,True
83,107.039432178,True
107,-96.7838056634,True
1001,896.04448302,False
1001,584.002419411,False
1001,908.552942546,False
116,311.639930275,True
89,-114.052975118,True
53,-113.486354282,True
80,284.768371085,True
63,-89.1186051113,True
100,-39.2714389462,True
86,-85.4088969157,True
1001,812.912632038,False
1001,954.168571579,False
1001,982.575051649,False
100,178.000745488,True
1001,824.695112408,False
46,-74.1460064345,True
90,-51.5520386156,True
105,112.326881007,True
56,-100.357215479,True
1001,720.41489311,False
1001,724.908482229,False
99,-108.951186876,True
58,-39.5015201043,True
39,-106.352980072,True
119,-91.0680032789,True
70,-97.480296515,True
108,-35.0409865287,True
61,-82.8228050342,True
76,141.073504229,True
81,125.879747718,True
89,-45.2344760282,True
66,-64.500205839,True
1001,874.049349014,False
83,-115.896748088,True
50,-106.628249951,True
64,284.651610911,True
1001,456.36066765,False
1001,579.915372763,False
91,-111.384306133,True
1001,495.719612215,False
93,-105.256819468,True
1001,778.248196199,False
69,-63.0885058701,True
1001,532.947542762,False
43,-109.246577923,True
1001,745.700772952,False
71,-83.6925757625,True
72,-119.139053464,True
108,112.296410357,True
78,-106.670809033,True
84,7.38256540379,True
1001,664.760317348,False
1001,829.358914005,False
67,-87.6152561044,True
1001,614.435076017,False
83,1.45900594433,True
124,-95.3870159623,True
1001,906.323267346,False
117,-97.0554415462,True
66,-68.4637762931,True
95,-95.9222547636,True
1001,855.742524989,False
1001,734.960321001,False
70,-83.5077187162,True
110,344.106290666,True
77,-114.757807504,True
65,44.9993718212,True
70,-72.0929501686,True
1001,1060.66802015,False
1001,668.971044253,False
1001,1031.83572373,False
82,-14.9862954674,True
60,-112.376384898,True
51,-101.995706811,True
63,-50.6162558639,True
72,-91.3330872646,True
1001,776.772278584,False
64,-64.1283205806,True
1001,953.215567052,False
66,-13.9396189161,True
57,-100.209699475,True
1001,813.32089277,False
86,-68.9750725016,True
1001,621.12744536,False
60,-6.84436506007,True
90,-110.815973843,True
1001,681.324832643,False
62,68.5858016776,True
1001,870.381069251,False
67,-14.1273087314,True
78,318.418609797,True
1001,699.944117263,False
70,-44.030133626,True
54,-95.9488637599,True
51,-106.201489089,True
126,-64.9421010921,True
98,-89.1223175252,True
68,-75.0456345859,True
54,-110.792670125,True
1001,744.364210466,False
1001,880.11742715,False
48,-94.9278623285,True
121,-81.5405420853,True
135,136.840981429,True
1001,764.462823277,False
63,15.5119029108,True
1001,1081.97843843,False
1001,826.382677264,False
