num_timesteps,total_reward,fell
67,-87.8072029549,True
97,-22.7892113286,True
103,-26.0205461887,True
89,-102.742475937,True
73,-83.1890043242,True
1001,1258.10800814,False
91,-76.7418888788,True
876,619.405976483,True
61,-36.5457074969,True
1001,926.319009875,False
85,29.3295615855,True
105,-61.2830110114,True
61,-54.0317037075,True
49,-9.35544187854,True
95,-1.75443855691,True
85,16.0744938868,True
57,1.276899292,True
74,-4.04629406354,True
70,-2.95206705116,True
1001,741.957081211,False
81,33.9000185436,True
48,-64.2247632148,True
66,-2.70894300991,True
263,70.4257185915,True
118,-99.6749847611,True
53,-116.230562559,True
56,-49.8798196936,True
39,-117.046232258,True
76,-94.2450534545,True
143,-105.997506171,True
46,-74.1798298814,True
49,-39.8432521901,True
48,-109.618625169,True
35,-109.794748469,True
92,-83.380856124,True
56,-65.4393347359,True
72,-104.378891707,True
42,-119.74791674,True
46,-119.720532774,True
42,-116.364002681,True
67,-103.325798364,True
46,-114.338871571,True
39,-117.469763187,True
79,-115.233722047,True
75,-89.7117298628,True
64,-119.058900558,True
57,-113.708778055,True
46,-117.208581983,True
156,-107.120816758,True
44,-99.1762220818,True
71,-103.655093219,True
37,-83.0839999933,True
56,-119.583158847,True
63,-106.933160873,True
96,-99.0677738341,True
59,-107.426899636,True
72,-101.346512443,True
61,-108.718155333,True
44,-113.880185898,True
127,-129.865717782,True
97,-126.344142609,True
46,-115.717261959,True
49,-115.413466467,True
76,-96.4567044013,True
67,-117.249227005,True
116,-131.441208533,True
69,-95.6658070002,True
90,-89.3224807366,True
42,-118.520876224,True
75,-115.585087638,True
106,-124.864606725,True
41,-116.767551713,True
31,-111.875597908,True
61,-88.3088871231,True
71,-119.982165852,True
45,-86.2754182499,True
123,-132.704297765,True
63,-113.919355466,True
59,-114.463770833,True
51,-115.242945891,True
56,-93.2613611938,True
60,-99.79876122,True
109,-86.7902397809,True
56,-116.627344362,True
36,-112.574725975,True
49,-78.9428821409,True
87,-104.273677971,True
37,-104.233647336,True
46,-92.1515298836,True
62,-107.036322277,True
64,-45.1147474028,True
49,-109.904810975,True
46,-122.727268805,True
62,-103.088004748,True
65,-89.3789923744,True
43,-107.454753279,True
58,-117.921215022,True
74,-99.7568224296,True
86,-54.2055817246,True
93,-62.0052291962,True
158,-95.3133150802,True
57,-107.160418857,True
84,-121.806146194,True
100,-121.926034916,True
1001,393.248860698,False
75,-93.3423586901,True
135,-97.1888323698,True
45,-108.668025292,True
53,-112.783509125,True
43,-105.126264382,True
93,-7.32062884897,True
1001,734.783256288,False
56,-108.211421891,True
77,-104.235587239,True
46,-83.0423398951,True
29,-107.444829777,True
84,-118.262925843,True
76,-94.3685922933,True
132,-79.6573673898,True
56,-92.982314127,True
75,-39.5406009807,True
50,-112.034053246,True
44,-88.2637881392,True
135,-28.703800037,True
65,-102.227469399,True
98,-41.2956467464,True
49,-109.095173391,True
52,-107.231848215,True
55,-104.45939295,True
33,-109.98877629,True
39,-105.826424056,True
63,-108.32026114,True
96,123.105303442,True
70,-30.7077043063,True
660,128.295361771,True
37,-103.133006388,True
67,-63.4476373291,True
91,62.2588776663,True
93,10.7105139573,True
95,277.583220141,True
460,630.644876098,True
78,220.179355748,True
42,-110.733362787,True
100,101.142644715,True
53,-1.96292459929,True
82,107.011642618,True
563,184.916515883,True
768,433.822692451,True
70,-87.2838918299,True
76,-116.867847001,True
67,42.4095329825,True
734,962.414214852,True
74,-23.2157032439,True
47,-78.7770703469,True
47,-65.5089853637,True
975,676.412878744,True
62,-107.618753639,True
771,730.477958341,True
46,-105.34904833,True
357,83.1410634696,True
49,-99.8141205408,True
83,-0.320059055433,True
42,-89.3618924087,True
70,-45.9391758851,True
49,-103.925292902,True
45,-110.972047789,True
52,-110.626164391,True
52,-98.5530151083,True
57,-60.0489985621,True
1001,856.342847172,False
63,-100.246512801,True
42,-103.600347287,True
55,-102.835833837,True
59,-89.6614523111,True
116,-6.67167450174,True
69,-80.8074943322,True
161,33.9023185425,True
68,-93.0972174163,True
62,13.0419737146,True
70,-22.2544362499,True
81,-92.8488641694,True
67,-56.4105148704,True
52,-97.1587114471,True
38,-112.383921516,True
489,342.449407566,True
47,-109.783486915,True
43,-90.5484853694,True
145,-60.8407421516,True
56,-103.282413699,True
639,647.897353764,True
52,-101.965944524,True
46,-108.579951591,True
131,-54.9714869287,True
88,234.942597857,True
44,-108.534293425,True
701,1107.42982338,True
67,-99.3903497446,True
48,-110.750719555,True
161,-79.288293315,True
76,131.506879024,True
1001,889.435028919,False
90,80.6305348782,True
63,50.7575343533,True
48,-84.7797567477,True
714,309.147987772,True
65,-104.561486521,True
66,17.3432200844,True
66,-23.375874255,True
60,48.4365397642,True
65,43.7874969595,True
48,-58.2261972315,True
353,268.981602835,True
806,610.092046831,True
58,-107.701459046,True
52,-109.727904119,True
78,-86.3956895701,True
375,140.458874247,True
59,-114.98015544,True
228,40.1746077671,True
636,636.940419042,True
99,72.8498383931,True
718,370.942984959,True
55,-113.915192195,True
