num_timesteps,total_reward,fell
423,280.372398502,True
151,21.5692380103,True
338,300.666706472,True
46,-120.67550144,True
117,-95.6898306678,True
47,-83.9876311035,True
1001,752.341797324,False
124,-103.452886484,True
70,-100.636885579,True
93,-30.9580710718,True
1001,160.968274629,False
1001,105.850589059,False
87,-119.634771302,True
208,115.98768942,True
43,-106.392146923,True
1001,238.338661335,False
1001,437.378091844,False
1001,676.253018675,False
625,72.1886834788,True
106,-9.43375195484,True
1001,724.177366726,False
73,-15.3883737713,True
1001,1444.53973201,False
110,-85.3121496419,True
35,-106.874560486,True
1001,1449.44260869,False
1001,1211.11702978,False
78,108.667432724,True
53,31.9721233692,True
54,9.50563126634,True
47,-110.955037169,True
80,31.753384951,True
78,59.5169400363,True
84,64.1753566673,True
506,233.39838417,True
36,-108.358455157,True
58,-4.83577963884,True
55,-54.4871388459,True
61,-102.879630222,True
48,-87.4520536206,True
59,-12.2727217729,True
44,-108.958852093,True
53,-51.6584588786,True
1001,1344.12027979,False
68,-33.748467914,True
56,148.661956033,True
56,193.414118171,True
55,27.1523585813,True
1001,877.068344568,False
65,58.2637653259,True
963,1125.43669005,True
49,-93.9800896076,True
46,-88.0770728633,True
108,-18.5083242324,True
1001,909.143599543,False
1001,592.113206796,False
1001,1070.50501325,False
67,-75.9742061599,True
58,-12.3154370895,True
360,683.632467512,True
44,-111.679023579,True
56,-43.1887764228,True
119,-22.4953910526,True
73,-68.4286966781,True
61,-24.2894830664,True
59,-107.913148314,True
50,-76.5407549643,True
40,-112.641439396,True
125,-57.5001315653,True
46,-94.1549640019,True
40,-106.610899293,True
65,-46.9969905464,True
58,-36.6223695946,True
38,-107.191249015,True
67,50.9887485694,True
50,-81.0877098458,True
129,-48.9280502295,True
62,-87.65282232,True
39,-108.190543243,True
72,-77.3920247184,True
30,-107.227181333,True
36,-113.372453214,True
40,-103.283639454,True
59,-104.055684477,True
39,-105.742520235,True
49,1.98439695585,True
68,32.0336962293,True
44,-86.7098394,True
60,-71.2185107579,True
65,-33.5269492517,True
43,-96.2811919476,True
81,54.8433819905,True
78,-63.1103990733,True
49,-96.2979460257,True
70,-108.838403388,True
75,-82.0422872273,True
41,-109.175860724,True
83,-18.2436351185,True
80,23.9017089369,True
66,-5.47124148586,True
36,-107.411696249,True
55,-101.35695626,True
61,-90.6306686989,True
40,-102.874271368,True
52,-71.3381906757,True
35,-106.160072084,True
59,32.9542911118,True
207,17.6942276068,True
1001,223.340540342,False
1001,85.4862888597,False
1001,172.6734142,False
1001,163.212218162,False
1001,19.2127673059,False
80,102.514405048,True
48,88.5216546312,True
74,78.1424292386,True
48,-109.071135035,True
1001,723.067665611,False
71,-118.761845423,True
142,227.858779276,True
68,89.3524864636,True
57,23.855921251,True
93,-73.9662971603,True
56,-101.607541101,True
47,-25.2131240828,True
67,33.2700741777,True
315,516.660598937,True
56,-12.5827771226,True
100,248.464330863,True
80,167.791166383,True
96,26.9277495577,True
1001,896.084726748,False
151,67.557452597,True
64,55.0167727259,True
66,53.4801921381,True
61,-29.1565752103,True
1001,492.266584176,False
37,-108.298783637,True
61,-109.973419705,True
1001,452.149029781,False
1001,820.283333338,False
586,558.415924559,True
45,21.8318675131,True
51,-80.059775185,True
48,-38.7711073978,True
59,-22.9780172059,True
72,108.703718354,True
51,-12.6041936567,True
56,-30.2637514362,True
68,-100.975282537,True
44,-97.7690792575,True
73,90.9619673981,True
1001,567.968270193,False
65,-26.8973562178,True
92,-14.1287562404,True
581,301.558205753,True
61,-0.430069763677,True
53,-78.3669097444,True
188,400.803684618,True
58,-18.5199841499,True
430,394.824230912,True
79,-39.5781426943,True
52,-14.5294804771,True
46,-93.8572818658,True
