num_timesteps,total_reward,fell
65,31.8324384189,True
1001,717.827572632,False
57,-114.98329625,True
1001,714.7202006,False
86,87.135262483,True
105,139.966820688,True
221,241.891258261,True
99,-118.441981907,True
58,-98.5630928201,True
1001,679.463738255,False
72,-116.325785385,True
1001,718.420520348,False
55,-107.464399355,True
104,278.699021357,True
1001,706.603836725,False
66,16.5210526157,True
109,24.9690864293,True
77,98.7691796794,True
43,-108.953625015,True
1001,890.865734267,False
96,-107.575243965,True
1001,620.449410805,False
1001,672.672653676,False
82,128.908315638,True
80,60.2155663637,True
1001,632.003913306,False
130,472.429035903,True
82,153.732950337,True
80,-67.361665807,True
1001,799.609364777,False
1001,927.590539054,False
1001,667.755464401,False
77,-41.1978059288,True
1001,689.935859511,False
64,-69.5053401765,True
65,104.117203154,True
96,347.494250505,True
47,-57.8776350025,True
64,8.52721481158,True
57,-31.4516394391,True
80,166.489863511,True
56,-115.163854615,True
1001,610.288296329,False
87,-77.8801657731,True
1001,852.11356949,False
1001,744.184439326,False
1001,646.634271293,False
96,357.986353349,True
1001,679.633557527,False
66,-51.2057456689,True
76,-115.665701575,True
77,188.446914568,True
1001,643.352965007,False
70,-119.772108,True
1001,909.034327766,False
1001,1026.95559726,False
1001,894.032305225,False
134,401.187204344,True
1001,490.984771948,False
35,-78.9524741096,True
67,-75.6036439844,True
40,-100.330572567,True
1001,875.352270627,False
1001,704.467843986,False
1001,434.04702969,False
119,315.3324302,True
66,-81.6557432875,True
49,-107.823448152,True
55,-111.953915185,True
56,-111.116130757,True
1001,987.941560585,False
136,203.170951573,True
60,-117.561124654,True
88,132.377352475,True
88,-120.315850632,True
61,-4.31029699807,True
45,-103.037517509,True
84,141.312042171,True
106,247.728202935,True
116,-116.79933527,True
1001,667.744223599,False
74,-118.44196866,True
1001,617.919049205,False
1001,783.251516111,False
54,120.818486917,True
72,347.467192176,True
90,-79.0561964133,True
61,-56.7411825586,True
106,232.115923713,True
77,-45.670210302,True
80,-24.7196065796,True
1001,994.601801935,False
50,-110.950984283,True
114,-123.044196238,True
78,49.7318928274,True
72,-115.077708146,True
1001,620.888968827,False
1001,826.629589298,False
63,-97.5751843269,True
75,-109.819995262,True
66,69.1499850744,True
1001,568.843648603,False
49,-51.1373379945,True
95,-120.54471878,True
1001,605.272182503,False
1001,694.25126408,False
356,173.815110666,True
55,-109.017923524,True
1001,619.027340826,False
1001,1057.16007554,False
43,-108.36013788,True
71,-111.307732336,True
55,-115.844875539,True
1001,898.669181302,False
1001,580.534206323,False
71,177.106210308,True
77,-110.659875081,True
69,-111.186520168,True
64,141.690409781,True
1001,661.700187453,False
