num_timesteps,total_reward,fell
65,31.8324384189,True
1001,717.827572632,False
57,-114.98329625,True
1001,714.7202006,False
86,87.135262483,True
105,139.966820688,True
221,241.891258261,True
99,-118.441981907,True
58,-98.5630928201,True
1001,679.463738255,False
72,-116.325785385,True
1001,718.420520348,False
55,-107.464399355,True
104,278.699021357,True
1001,706.603836725,False
66,16.5210526157,True
109,24.9690864293,True
77,98.7691796794,True
43,-108.953625015,True
1001,890.865734267,False
96,-107.575243965,True
1001,620.449410805,False
1001,672.672653676,False
82,128.908315638,True
80,60.2155663637,True
1001,632.003913306,False
130,472.429035903,True
82,153.732950337,True
80,-67.361665807,True
1001,799.609364777,False
1001,927.590539054,False
1001,667.755464401,False
77,-41.1978059288,True
1001,689.935859511,False
64,-69.5053401765,True
65,104.117203154,True
96,347.494250505,True
47,-57.8776350025,True
64,8.52721481158,True
57,-31.4516394391,True
80,166.489863511,True
56,-115.163854615,True
1001,610.288296329,False
87,-77.8801657731,True
1001,852.11356949,False
1001,808.941009595,False
66,-82.5253040618,True
81,-104.772571701,True
1001,756.649801162,False
86,-30.0814783518,True
60,-110.092466287,True
75,74.7524625227,True
1001,705.521938525,False
87,316.990222113,True
67,-122.46230554,True
1001,1019.24158405,False
62,-106.240981362,True
62,-99.9289890626,True
94,303.753260468,True
99,118.137779343,True
160,-103.757794024,True
72,-60.8119454097,True
1001,766.516945485,False
46,-109.312869876,True
78,198.830794427,True
68,61.0734348018,True
79,234.536151026,True
62,-103.233494991,True
1001,492.813171545,False
107,-125.831263706,True
1001,1112.42900023,False
65,-84.2571726372,True
1001,983.758250331,False
66,153.721503245,True
72,-106.27487432,True
1001,988.128940483,False
75,164.631126923,True
57,-25.0220232143,True
73,145.823327606,True
74,-101.191451357,True
75,-106.491488523,True
101,-77.7124752202,True
77,108.044966848,True
74,186.730229773,True
106,-77.0534235231,True
1001,633.48105201,False
1001,569.373564372,False
89,122.723606676,True
1001,701.313532897,False
1001,674.421784391,False
66,47.89417216,True
94,273.443124801,True
1001,727.012437586,False
1001,589.016229068,False
1001,725.36104338,False
54,-114.152915029,True
85,-92.3305832303,True
64,-113.396734325,True
100,18.3614310356,True
54,-96.4366989297,True
1001,719.189656912,False
104,347.322550765,True
103,312.977849904,True
1001,835.671673192,False
1001,598.593482234,False
1001,759.200991261,False
1001,592.58680921,False
96,352.385334938,True
1001,590.356405962,False
83,297.50575789,True
1001,599.607425822,False
86,264.284070569,True
120,-121.134811248,True
108,409.795262782,True
76,-79.0117114731,True
81,130.022138648,True
571,422.17441944,True
1001,856.775792602,False
99,-56.4941977372,True
1001,778.286978726,False
