num_timesteps,total_reward,fell
65,-100.317294054,True
1001,-50.7642351968,False
57,-114.98329625,True
1001,-46.8718749323,False
86,-101.676214867,True
105,-102.555888353,True
221,-124.331503948,True
99,-118.441981907,True
58,-116.80609555,True
1001,-46.7053124885,False
72,-116.325785385,True
1001,-51.2230311004,False
55,-109.801586224,True
104,-100.316911571,True
1001,-52.3107804442,False
66,-101.701266017,True
109,-103.46406004,True
77,-100.616012991,True
43,-108.953625015,True
1001,-45.0092831575,False
96,-119.192752135,True
1001,-48.1526020424,False
1001,-43.0930341107,False
82,-101.268126503,True
80,-103.961532213,True
1001,-54.8109446724,False
130,-97.4648861749,True
82,-101.257049893,True
80,-107.899592394,True
1001,-51.283604365,False
1001,-50.5422621863,False
1001,-56.5898668816,False
77,-114.733112472,True
1001,-50.6042160423,False
64,-103.638867841,True
65,-103.394058545,True
96,-98.4906881111,True
47,-103.481508568,True
64,-101.060612563,True
57,-102.470363305,True
80,-101.133456327,True
56,-115.163854615,True
1001,-51.6234964517,False
87,-117.556270465,True
1001,-55.0027354232,False
1001,-43.4407599922,False
66,-108.995865052,True
93,-104.716204878,True
1001,-46.1546366417,False
1001,-49.1559178231,False
86,-102.712104723,True
1001,-49.9217003491,False
57,-117.580864584,True
61,-104.023595025,True
75,-99.4240681209,True
81,-115.490650291,True
191,-125.142192269,True
1001,-47.0631529214,False
1001,-46.1443821011,False
86,-107.772341262,True
75,-106.359026541,True
1001,-59.5607642444,False
53,-112.297832191,True
57,-102.859908679,True
65,-106.250324113,True
67,-101.353085892,True
76,-121.739156395,True
47,-109.350857998,True
50,-102.355606339,True
70,-115.054555866,True
61,-115.440198991,True
1001,-55.7341536091,False
1001,-49.815992016,False
57,-115.614725281,True
1001,-44.6780765436,False
66,-117.247273674,True
128,-103.905772849,True
118,-99.8368454781,True
1001,-47.6189861125,False
80,-119.109048519,True
44,-108.588636659,True
63,-101.989397554,True
162,-104.318300185,True
89,-99.3080974053,True
1001,-50.8328522286,False
1001,-52.4267391132,False
58,-101.196990963,True
59,-112.920675022,True
1001,-51.9168218784,False
1001,-51.4730217634,False
65,-116.359419244,True
81,-101.462780221,True
1001,-52.6649504956,False
61,-100.480077925,True
69,-98.6150849587,True
102,-106.932662561,True
56,-103.240464553,True
98,-97.6786649378,True
110,-104.14821141,True
1001,-49.3937614407,False
70,-98.6561615033,True
1001,-53.2214621675,False
70,-117.277042205,True
64,-104.093289309,True
60,-103.666757023,True
108,-127.920045086,True
74,-113.617826909,True
59,-106.13127978,True
205,-130.750945872,True
97,-99.8077893576,True
1001,-60.8634212461,False
1001,-45.9536222064,False
81,-112.466858639,True
88,-98.4750310074,True
68,-105.345724748,True
76,-103.651355583,True
83,-115.827047329,True
1001,-53.076199409,False
127,-101.909265943,True
1001,-55.4523897228,False
107,-120.585512205,True
55,-101.307923386,True
93,-117.433609022,True
61,-106.474107351,True
61,-101.44518876,True
89,-103.291150117,True
86,-116.494334924,True
98,-101.937334598,True
52,-111.776743432,True
77,-112.334617782,True
357,-143.0655136,True
1001,-49.7846521374,False
1001,-47.4608370951,False
76,-102.146497205,True
59,-110.038629355,True
1001,-52.4020192299,False
68,-115.162858445,True
62,-100.782961642,True
63,-99.4826552596,True
83,-99.9810682442,True
1001,-49.6806176799,False
1001,-49.6358544122,False
69,-119.596849844,True
50,-105.906769782,True
1001,-41.2742930103,False
1001,-62.5126389492,False
93,-120.929657737,True
69,-114.444634191,True
71,-116.738363742,True
1001,-50.5459738297,False
1001,-62.4233526383,False
118,-121.94573346,True
1001,-52.3277218012,False
62,-108.133155151,True
95,-106.896231984,True
1001,-48.3021405971,False
62,-106.142913288,True
1001,-59.9601822873,False
111,-102.807764492,True
51,-113.855842986,True
92,-102.038414269,True
1001,-51.124215234,False
45,-110.780810068,True
83,-101.313916995,True
84,-99.7888201116,True
65,-106.981899115,True
1001,-48.3442122822,False
73,-118.054638354,True
78,-98.0927008761,True
88,-100.017487002,True
81,-99.895746764,True
52,-103.86686264,True
66,-119.733211808,True
1001,-51.7063058781,False
1001,-50.6128064174,False
57,-101.021736507,True
46,-108.406466948,True
153,-121.561995917,True
1001,-55.6974535405,False
77,-102.705611264,True
89,-118.073607768,True
1001,-50.362669909,False
58,-114.601809559,True
90,-105.947635911,True
1001,-49.4841751785,False
60,-98.9359238152,True
1001,-58.8593350311,False
69,-107.277076384,True
1001,-61.4454756719,False
1001,-50.42385124,False
53,-116.53539962,True
77,-99.4006518909,True
46,-111.509228697,True
1001,-53.5763754172,False
78,-98.9575484601,True
1001,-54.2215680746,False
71,-108.465003508,True
112,-99.0984880408,True
1001,-46.8061580288,False
59,-104.465424471,True
79,-106.987800627,True
1001,-67.232383314,False
49,-115.32938922,True
55,-103.751547923,True
73,-108.014043834,True
76,-103.992655633,True
54,-104.951964154,True
65,-117.392513591,True
74,-119.523139721,True
77,-101.619602646,True
1001,-54.8707915899,False
46,-103.341771315,True
119,-126.576113557,True
131,-127.422819393,True
69,-119.953130138,True
87,-102.796088499,True
89,-119.95460985,True
1001,-58.7472633268,False
66,-112.375165288,True
66,-103.615670633,True
1001,-46.2526175187,False
1001,-45.8569970283,False
67,-106.201999523,True
