num_timesteps,total_reward,fell
65,31.8324384189,True
1001,823.056044899,False
92,-104.72290723,True
80,99.6535536166,True
73,281.232957102,True
90,-57.5692533568,True
71,-64.779453815,True
80,81.7830799768,True
1001,955.915023738,False
92,-119.297328712,True
107,186.539461587,True
79,-43.9024017824,True
1001,698.247552183,False
136,210.807977042,True
79,183.724824154,True
57,16.5584451401,True
1001,550.354271018,False
82,16.037153879,True
96,254.207800808,True
71,-113.602133881,True
1001,649.564871327,False
101,-122.958404939,True
73,132.738527894,True
55,-81.0290204078,True
105,79.0696733104,True
55,-107.573625766,True
1001,720.387976256,False
1001,1181.04409855,False
1001,864.657206935,False
1001,754.74301308,False
45,-88.9795465281,True
1001,664.932463972,False
67,-60.4912307288,True
1001,1020.1854054,False
58,-105.772914575,True
73,-14.003205982,True
1001,551.509355182,False
52,-108.672275257,True
1001,935.135867191,False
72,-88.3199296257,True
78,188.251882738,True
74,-75.7100976742,True
1001,675.985986264,False
63,97.9369218476,True
67,76.5318672706,True
48,-98.5677105798,True
1001,1120.02130492,False
107,-67.1420633726,True
1001,581.662645734,False
52,-109.19522098,True
68,-98.8302762594,True
73,-13.918527737,True
90,153.892304956,True
45,-103.770615625,True
68,-76.3459413918,True
1001,920.74089834,False
82,16.3766329629,True
98,-112.251048558,True
106,-35.9550178898,True
60,-106.768235825,True
76,162.028935895,True
39,-106.464576871,True
1001,671.48698838,False
69,-69.7513824396,True
838,327.415273964,True
72,-15.3503818519,True
72,-112.787788167,True
1001,1181.62365115,False
89,-108.343044185,True
42,-113.822279715,True
69,-105.709248846,True
81,-90.4320877145,True
1001,830.930316212,False
54,-107.874161383,True
84,-30.2957603431,True
134,-110.586095839,True
56,-38.1212051483,True
74,-87.8936787151,True
109,-28.7469379615,True
88,-45.1321969172,True
65,-112.331515917,True
43,-108.934525405,True
65,-84.7472225112,True
111,-89.7390243495,True
72,2.63467002349,True
50,-72.6520837092,True
73,-111.333475706,True
72,-47.3052310568,True
75,-45.4738283923,True
92,-46.8679050071,True
1001,986.88331806,False
56,-114.452930692,True
84,22.6595130161,True
96,179.72782948,True
46,-96.8903771739,True
62,-93.9929576129,True
61,-101.17992039,True
72,-35.7794175491,True
67,-77.8498350964,True
1001,735.932868141,False
51,-105.781696252,True
77,-18.1070809217,True
1001,1251.37151815,False
97,-67.3457704146,True
1001,990.684701239,False
61,-113.455150341,True
1001,878.313826055,False
51,-116.809240169,True
1001,1168.63877928,False
49,-99.5297462166,True
78,-85.9238740747,True
48,-111.863464601,True
1001,631.938586719,False
51,-111.689292491,True
1001,866.7400042,False
72,-112.276760237,True
65,-115.92085991,True
1001,943.410755056,False
72,-113.794200344,True
79,-56.1432185288,True
97,-26.4458111529,True
67,-97.7395264895,True
106,63.6517430211,True
83,-93.0642568624,True
51,-118.321964923,True
69,-92.8469945704,True
477,202.673865329,True
130,-82.8472374559,True
76,-36.6245135232,True
47,-111.239564885,True
81,-53.2104937181,True
46,-72.0504032596,True
1001,763.50646449,False
61,-104.99242268,True
55,-115.024720858,True
58,-113.21729162,True
1001,1060.23183314,False
71,-105.362606518,True
57,-104.012969487,True
60,-117.932216164,True
53,-60.007864242,True
60,-94.0221943291,True
41,-90.1869709315,True
53,-110.211368256,True
49,-114.722891884,True
269,-23.1335055721,True
74,-74.2019529856,True
76,-75.6252135386,True
49,-108.213062088,True
105,-89.9759559614,True
60,-118.193468521,True
88,-91.5731857407,True
63,-33.3919536501,True
65,-60.4145381002,True
56,-68.7267990463,True
80,-70.1216622713,True
83,-28.1033796376,True
56,-112.007369622,True
107,1.52093863379,True
73,-105.469301908,True
111,12.8617549932,True
57,-113.8967689,True
54,-73.2787771927,True
82,-50.4215847796,True
46,-109.035065771,True
80,43.8320430055,True
47,-115.249339739,True
51,-100.733346142,True
122,-14.0490147246,True
62,-57.3290765461,True
76,-87.6685342146,True
53,-105.153719884,True
70,-101.373836775,True
84,-77.8309831227,True
88,23.3944309895,True
102,-80.6968685723,True
74,-86.0978619019,True
74,-101.911733386,True
61,-106.690314221,True
102,-112.30395092,True
95,-37.0800032969,True
48,-88.9351367585,True
70,-92.7448476311,True
40,-114.697481998,True
60,-51.9704121122,True
77,-99.080150488,True
58,-109.748318917,True
74,-60.8785821228,True
74,-67.5237026222,True
66,-52.8118492133,True
44,-91.5095668027,True
72,-106.023431582,True
64,-112.348446017,True
50,-107.659448713,True
73,-63.1363692876,True
66,-70.9683526669,True
55,-102.17216813,True
58,-118.623819842,True
63,-117.075815412,True
53,-116.624956253,True
100,-28.1867863979,True
85,-109.948801878,True
49,-113.847193879,True
85,-58.254017,True
72,-60.0268037507,True
66,-114.157648672,True
70,-109.899826649,True
47,-111.893600531,True
48,-114.725186941,True
57,-116.000810764,True
76,-97.2122707502,True
139,-34.3520877748,True
47,-90.3531223827,True
37,-94.8831579983,True
51,-99.3536780233,True
42,-109.173052392,True
61,-84.4302373514,True
73,-93.902649584,True
53,-113.151416456,True
153,103.80438298,True
79,-94.7798498432,True
1001,910.2846639,False
76,-36.7872027119,True
84,-88.3629652644,True
65,-113.419168347,True
81,-91.4950122707,True
64,-83.8729329858,True
55,-117.001760975,True
58,-62.0752542416,True
66,-66.0495094293,True
83,-108.839332504,True
56,-43.4523754417,True
71,-108.903861279,True
57,-82.9962195817,True
74,-107.394028706,True
75,-95.523908876,True
53,-101.77702128,True
46,-120.870684868,True
63,-98.5936072339,True
129,-61.0265146075,True
41,-87.2801148532,True
91,-27.2070833456,True
120,-85.1953189654,True
62,-102.62519099,True
49,-115.893366475,True
79,-100.448441303,True
84,-84.6768634255,True
56,-114.830412783,True
119,-54.526313023,True
55,-75.456612189,True
88,-89.3412750021,True
139,37.3768693766,True
61,-76.6124114814,True
140,-100.956729463,True
55,-103.253989466,True
43,-112.71988702,True
47,-113.099346029,True
66,-87.6646311397,True
45,-118.966081331,True
48,-104.500948686,True
57,-115.410018786,True
70,-110.534060838,True
71,-100.775556974,True
119,-33.4775523387,True
59,-72.0432151352,True
48,-116.465029186,True
61,-94.7235125015,True
97,-48.5215135404,True
43,-119.603474264,True
100,-60.3089924863,True
46,-119.989258518,True
63,-87.0997721753,True
85,-89.9118778168,True
49,-80.8679041572,True
42,-116.684722516,True
78,-111.925399869,True
46,-102.192702325,True
61,-115.892606841,True
81,-103.319680413,True
71,-74.491102816,True
101,-104.175662957,True
98,-15.138471676,True
40,-115.407314632,True
53,-117.890256003,True
50,-120.377772877,True
166,36.4610259667,True
109,30.1574858414,True
50,-109.92990815,True
58,-113.147108897,True
45,-113.8394289,True
49,-115.432551971,True
61,-81.5148478258,True
52,-116.802248378,True
49,-119.44592218,True
63,-112.807764299,True
114,-119.341916201,True
57,-75.1276407184,True
94,11.6211655649,True
110,-34.2044787226,True
47,-118.854747711,True
66,-75.9721089033,True
97,-95.0195557223,True
78,-83.0180122166,True
50,-114.725458797,True
51,-110.842192009,True
99,-16.0266235243,True
68,-89.8033218881,True
73,-52.7603309471,True
85,-80.1355396284,True
148,-36.8270085222,True
61,-98.927299684,True
113,-62.3747715003,True
71,-71.480088057,True
159,-9.47105347612,True
42,-116.791104973,True
128,-33.1850103327,True
48,-119.148740341,True
68,-114.224037219,True
40,-65.6991205778,True
44,-83.5351241831,True
57,-94.8014142979,True
43,-111.203572957,True
77,-105.100382469,True
159,3.7041763253,True
62,-71.71642601,True
76,-86.1867214778,True
105,-57.5927873235,True
111,-8.48530244094,True
54,-115.932076774,True
73,-73.0847673109,True
96,-52.406223176,True
53,-107.902377673,True
75,-103.332839698,True
43,-115.410008145,True
85,-83.6200174166,True
44,-116.388619577,True
50,-118.308465624,True
59,-40.1124477606,True
112,-103.700015308,True
76,-80.5639513241,True
76,-97.0294740795,True
48,-115.432220263,True
109,-94.7559412934,True
55,-102.528164444,True
70,-80.4047323976,True
72,-108.110132379,True
51,-91.2670983116,True
108,-86.422831527,True
47,-116.365247146,True
172,122.048867014,True
104,-33.1829131006,True
60,-117.493193889,True
66,-115.925231178,True
61,-81.1761988622,True
62,-97.5153173915,True
131,-67.1343490438,True
54,-115.720073796,True
55,-118.762151143,True
51,-91.7956692947,True
61,-109.16902095,True
60,-113.328880998,True
44,-120.073490728,True
93,-7.58940960567,True
63,-111.49360501,True
92,-86.9208977736,True
68,-109.317029275,True
74,-108.937822839,True
115,-80.0081671719,True
65,-67.72382198,True
62,-117.436305888,True
58,-117.556345858,True
72,-113.023224683,True
136,-19.0410491101,True
43,-121.032476433,True
74,-91.8770446415,True
57,-100.770109704,True
78,-110.204088352,True
59,-99.1102962548,True
80,-99.6630890532,True
58,-36.5044581182,True
85,-78.7086477322,True
38,-116.58871147,True
77,-83.3965701905,True
67,-110.999242388,True
44,-118.886811391,True
58,-101.360528223,True
125,-34.608965784,True
41,-116.488720229,True
63,-90.030377306,True
61,-114.324714785,True
76,-111.735318748,True
47,-114.712042245,True
42,-118.328382978,True
49,-114.721686564,True
104,-76.0827708221,True
60,-101.804468136,True
76,-106.266407236,True
49,-115.684927495,True
34,-101.62797503,True
49,-115.818914064,True
59,-116.147069511,True
43,-116.652245945,True
52,-95.8800072534,True
107,-67.9190514252,True
70,-105.68916481,True
60,-98.7922411306,True
48,-118.553952344,True
57,-92.2460460317,True
65,-75.8387773564,True
108,-79.8179235047,True
61,-118.444998569,True
76,-86.2445151621,True
41,-115.812538303,True
103,-67.4140274912,True
39,-115.259579041,True
46,-120.348831814,True
56,-117.567175418,True
97,-95.8462389481,True
79,-30.6074010537,True
39,-117.145783823,True
64,-99.8282352776,True
67,-113.792124419,True
83,-109.841594909,True
65,-57.371334106,True
91,-108.376999838,True
88,-78.8349817024,True
53,-114.638231661,True
54,-117.034817642,True
46,-118.720443171,True
116,-48.0166442362,True
52,-113.155756906,True
97,-95.4226577019,True
72,-104.114306447,True
93,-83.2859450566,True
58,-115.203744038,True
42,-117.761676016,True
75,-50.070053658,True
78,-82.7832356209,True
45,-116.777907324,True
152,-14.1581750761,True
101,-89.6282620641,True
47,-119.052977638,True
42,-119.493473514,True
45,-121.389644508,True
103,-114.866624628,True
87,-62.9126807586,True
86,-76.6067441125,True
160,-86.4627679768,True
38,-115.675663871,True
91,-68.6232924141,True
44,-115.554217014,True
100,-86.8712718218,True
59,-111.119530516,True
63,-94.6791091272,True
50,-117.874296499,True
44,-115.61709421,True
63,-106.496191637,True
43,-117.769976556,True
48,-114.672947384,True
69,-95.402920609,True
103,-70.1937960141,True
68,-72.8753697039,True
57,-120.299584038,True
59,-102.802721339,True
49,-121.236377323,True
118,-88.4793817764,True
53,-115.180323313,True
52,-121.380744565,True
44,-121.646181072,True
44,-121.170822741,True
85,-113.809907562,True
79,-112.171743769,True
108,-108.027377159,True
40,-116.42772034,True
46,-120.410386247,True
49,-122.468913739,True
100,-84.045276665,True
59,-94.0159380168,True
80,-103.065798066,True
61,-95.8453342487,True
89,-86.8867484053,True
78,-101.577384076,True
257,-10.1692890748,True
124,-32.2382125748,True
40,-116.799326517,True
57,-89.9940819252,True
40,-116.39317475,True
47,-119.531907222,True
69,-85.7321542467,True
64,-103.064414217,True
60,-107.063313204,True
44,-120.95052531,True
41,-118.182993369,True
42,-120.094881763,True
66,-99.9017990071,True
168,-58.2532424539,True
97,-70.256771698,True
81,-98.234790365,True
59,-93.366967986,True
72,-89.3443242459,True
74,-107.439450127,True
50,-119.831958629,True
56,-77.086916694,True
57,-119.666815939,True
103,-46.1351617255,True
82,-113.412057176,True
44,-117.816891768,True
52,-55.2210411955,True
57,-93.5585664931,True
96,-37.1980670713,True
62,-100.912160509,True
79,-116.980994611,True
43,-116.352533473,True
93,-78.595183812,True
47,-117.135973619,True
125,-47.6396539903,True
138,-16.2457174857,True
45,-121.440168004,True
45,-121.257564989,True
182,-16.5919276048,True
45,-119.418032816,True
59,-115.890261004,True
70,-108.88860261,True
106,-101.21004658,True
98,-110.192750347,True
137,-42.3046961865,True
66,-103.625407821,True
63,-103.372635084,True
