num_timesteps,total_reward,fell
65,31.8324384189,True
1001,717.827572632,False
57,-114.98329625,True
1001,714.7202006,False
86,87.135262483,True
105,139.966820688,True
221,241.891258261,True
99,-118.441981907,True
58,-98.5630928201,True
1001,679.463738255,False
72,-116.325785385,True
1001,718.420520348,False
55,-107.464399355,True
104,278.699021357,True
1001,706.603836725,False
66,16.5210526157,True
109,24.9690864293,True
77,98.7691796794,True
43,-108.953625015,True
1001,890.865734267,False
96,-107.575243965,True
1001,620.449410805,False
1001,704.95267077,False
74,101.7941858,True
66,90.0986533637,True
1001,684.161905749,False
1001,862.836693025,False
106,-58.1900924412,True
1001,623.101578756,False
68,-101.998928654,True
1001,806.62306384,False
53,-108.948914216,True
80,291.608399798,True
49,-74.2541726359,True
1001,547.686543353,False
51,-35.6683658626,True
1001,585.245369763,False
1001,775.710371189,False
86,-13.3579183313,True
143,470.080683022,True
1001,690.521711327,False
88,-6.28804776192,True
60,-65.9331637979,True
134,118.923785999,True
1001,690.643780773,False
76,64.6203914021,True
75,149.215648785,True
1001,884.488962764,False
68,46.7435519213,True
46,-106.401124468,True
92,271.112977802,True
72,-105.716677347,True
82,145.86072385,True
1001,679.822635557,False
60,147.388746394,True
1001,743.072706382,False
66,127.210315373,True
1001,871.007021166,False
109,-51.8116405829,True
57,-102.690992716,True
1001,751.161199515,False
83,12.9924887794,True
1001,876.884197528,False
1001,729.413105498,False
75,-79.63068461,True
70,-112.966596345,True
135,-31.5631280774,True
1001,824.537697441,False
72,-115.360905009,True
1001,680.927581388,False
1001,566.109993533,False
66,-109.739130646,True
71,61.6845245378,True
1001,870.383114164,False
1001,653.196955217,False
58,-60.1519181163,True
1001,816.694150698,False
1001,469.113473497,False
58,-113.760452334,True
92,213.851810798,True
1001,388.37191223,False
77,168.75749655,True
1001,852.387124367,False
126,-105.681521795,True
142,153.019896889,True
1001,964.854381471,False
1001,706.071107001,False
116,215.100841764,True
68,16.5958860868,True
1001,760.766195526,False
84,102.660419448,True
165,-39.8729200984,True
123,-115.635398056,True
1001,865.752506091,False
62,-14.1968320606,True
157,47.0614912342,True
1001,623.788335038,False
1001,670.007359164,False
83,221.888865898,True
1001,1072.86867993,False
92,101.492077019,True
78,161.579783614,True
70,23.4277480193,True
58,-102.503626193,True
80,-39.5750811731,True
1001,545.817089878,False
71,53.6648294546,True
1001,807.69824899,False
69,118.158955665,True
60,137.07837871,True
76,-116.062665191,True
152,-54.2305615467,True
60,76.2775590724,True
78,-112.155263981,True
1001,689.733530994,False
71,-80.9228919942,True
1001,532.365425496,False
1001,578.483615502,False
76,183.049514627,True
100,309.680854282,True
