num_timesteps,total_reward,fell
74,198.633792274,True
70,255.507271643,True
80,279.949252538,True
79,270.290097429,True
55,17.1859662341,True
70,105.667275041,True
54,68.0120193284,True
102,403.293033736,True
68,0.031878585027,True
84,-79.3946876456,True
66,-115.556156848,True
1001,739.309037428,False
78,-31.5452548489,True
646,594.661566069,True
41,-108.546967888,True
58,-79.8076583742,True
41,-114.045229385,True
60,-75.3804587703,True
49,-70.2468919908,True
47,-100.392001618,True
36,-113.844181892,True
1001,793.129447261,False
99,-47.0367054311,True
79,-44.7747451543,True
1001,632.928906104,False
33,-110.729708812,True
106,6.74828637215,True
1001,803.605467453,False
62,-58.297080421,True
203,25.594379082,True
79,27.2509073755,True
58,-115.022986426,True
53,232.624784088,True
1001,-108.714118799,False
66,229.879897026,True
67,149.528103511,True
54,79.8168727914,True
64,33.6196603229,True
50,165.656818246,True
60,159.871141642,True
51,33.4353814468,True
1001,1312.14156578,False
1001,954.069241622,False
1001,916.547078226,False
62,-2.28713716789,True
55,86.1225389849,True
55,127.824417382,True
56,296.892906537,True
56,198.048355371,True
56,180.053729597,True
55,200.065694601,True
59,128.303872434,True
50,40.2626582971,True
265,417.766178295,True
38,-116.387954221,True
71,-83.4039500938,True
62,-48.899453019,True
42,-113.900936367,True
72,-78.3177455659,True
58,-56.9181706174,True
37,-116.718819495,True
34,-115.312921047,True
58,19.491703313,True
74,-76.9962318671,True
102,-80.5791803582,True
110,-50.1519553407,True
164,-52.8959898953,True
110,-55.2742336573,True
38,-116.694914732,True
72,-83.3460154893,True
43,-115.984027758,True
39,-115.50938364,True
72,-87.3594364008,True
119,-56.2111116085,True
37,-113.698445488,True
47,-87.398588869,True
48,-112.66386777,True
71,-91.1136741846,True
179,-56.2187441072,True
68,-97.8079714359,True
36,-114.655893708,True
54,-118.259730135,True
72,-106.746052737,True
64,-116.306927989,True
98,-11.6348593579,True
44,-109.69586465,True
59,-68.0580538577,True
37,-112.576958431,True
37,-116.486536733,True
48,-116.369373271,True
37,-116.498066096,True
83,-93.8122277993,True
37,-114.458739869,True
34,-113.386682109,True
40,-115.668752198,True
121,-77.8390380337,True
51,-113.262438263,True
40,-114.655442033,True
108,-36.4059926951,True
81,-99.1642768802,True
36,-112.394600235,True
65,-67.5608747683,True
48,-109.390003067,True
120,-45.9539563188,True
82,-31.917525961,True
38,-115.676448123,True
34,-112.031866321,True
38,-117.522604551,True
59,-80.5070715556,True
68,-98.0250179961,True
55,-104.787781485,True
41,-112.91634406,True
126,-65.6466488617,True
36,-111.034921539,True
61,-41.0135936374,True
56,-104.415629191,True
80,-57.893040604,True
64,-17.1566698455,True
76,-97.7473155594,True
35,-111.040326803,True
79,-94.6888719233,True
72,-71.7464321793,True
34,-113.333497954,True
192,70.163948014,True
38,-110.672592423,True
57,-104.461764801,True
39,-110.930086853,True
79,-50.5053976302,True
90,-36.1137559258,True
64,-23.7468432822,True
40,-109.393847229,True
83,-82.4209419917,True
493,451.223906938,True
63,-86.5609613825,True
35,-112.871882933,True
47,-114.144671563,True
35,-114.203304516,True
47,-110.028634064,True
60,-111.095109164,True
72,-106.216512955,True
68,-112.596774845,True
71,-107.088240505,True
114,-29.2226622197,True
71,-48.3103174168,True
103,-88.4012549337,True
57,-110.959687969,True
44,-112.763207769,True
72,-91.4972200574,True
136,-93.435758164,True
47,-95.5077366306,True
53,-102.943865938,True
38,-110.062542382,True
40,-109.79358913,True
45,-103.843569072,True
43,-108.899077851,True
146,-49.2098279976,True
49,-81.4386002264,True
57,-109.22859095,True
55,-95.2435784723,True
166,12.7798239494,True
33,-109.858881343,True
54,-95.3482493685,True
33,-109.027489231,True
35,-108.870842706,True
34,-110.341113813,True
65,-41.6103716524,True
1001,1471.94657641,False
74,-93.3328338124,True
35,-111.49390057,True
40,-111.708918963,True
61,-52.1871889951,True
744,934.271107599,True
36,-115.173509512,True
97,19.2295300225,True
43,-112.911156181,True
85,-22.8799106662,True
43,-109.238786079,True
73,-46.0704597404,True
70,-68.7675955549,True
89,11.7202894514,True
64,24.2927179007,True
91,-49.2560935375,True
89,11.7418934829,True
75,-70.3572087129,True
58,-99.0904976044,True
57,-108.169379828,True
104,-71.0567021686,True
70,54.0091386857,True
85,-103.541580805,True
54,-99.2667488,True
44,-112.36024119,True
72,-44.6292972406,True
38,-116.576127085,True
37,-115.743107273,True
90,-46.5857422255,True
48,-72.1916388846,True
129,73.9156959766,True
32,-111.928671288,True
84,-113.304862579,True
43,-110.451510612,True
60,-66.7596011945,True
70,-18.3002652424,True
90,-15.1651677959,True
75,-62.4173938587,True
58,-94.9329243313,True
58,-114.670512052,True
38,-118.000919596,True
34,-114.04443226,True
78,-94.0131374996,True
37,-116.731546974,True
60,-44.3257803168,True
244,35.4457106346,True
42,-114.174856636,True
51,-92.2478308652,True
50,-97.0440856519,True
55,-90.8505772036,True
