num_timesteps,total_reward,fell
56,-112.5555206,True
78,313.314892647,True
62,-27.6721102427,True
58,190.254826199,True
62,48.718764289,True
56,49.7231808905,True
51,190.511569353,True
48,-60.0668723636,True
48,17.6762497294,True
50,195.646457952,True
47,160.780558409,True
51,173.085201452,True
55,148.955467366,True
47,117.708352787,True
47,60.9067440066,True
42,-6.01074715858,True
49,7.98579191159,True
47,-18.6099192699,True
90,-47.1137023004,True
37,-109.014825025,True
39,-110.818886444,True
44,-109.886451503,True
48,-112.455741331,True
50,-112.112376634,True
62,-103.958785636,True
58,-114.163918446,True
48,-114.46159102,True
112,-100.568367462,True
131,-106.945803543,True
128,-92.8549956643,True
122,-103.819812257,True
130,-107.049378118,True
38,-117.707732462,True
134,-115.328614528,True
74,-112.991960598,True
128,-105.225794866,True
164,-105.653001738,True
142,-88.9395091435,True
146,-89.7708537655,True
102,-88.458925094,True
142,-94.9120961021,True
95,-109.664243276,True
75,-114.627481763,True
125,-109.264360591,True
135,-89.6182140191,True
109,-109.64128166,True
157,-97.7590116723,True
153,-87.9473053856,True
131,-96.508630832,True
122,-110.739234804,True
123,-96.8500705626,True
111,-95.8038370697,True
108,-115.607594721,True
97,-104.668578258,True
73,-104.147879571,True
136,-99.1574859381,True
120,-101.636790499,True
121,-103.824454282,True
122,-85.0196764564,True
178,-69.2922925814,True
45,-121.333305332,True
139,-98.5398512473,True
128,-98.5809045399,True
43,-123.683214502,True
152,-105.90361634,True
137,-89.0216984437,True
89,-105.085981271,True
164,-82.8926850484,True
106,-93.7307851355,True
152,-88.7440879737,True
39,-117.624979474,True
113,-109.07213301,True
85,-92.2887401001,True
39,-118.474131422,True
39,-117.133744538,True
163,-80.904919753,True
43,-117.976136224,True
134,-96.0380086971,True
176,-90.9709498201,True
121,-84.7572107616,True
97,-98.7604068898,True
60,-108.237466276,True
43,-122.643689606,True
117,-77.0271994304,True
137,-88.4518692567,True
82,-105.711569613,True
57,-109.682507844,True
160,-61.905790227,True
167,-72.6024349483,True
162,-75.760691937,True
106,-118.990164677,True
135,-83.2018109436,True
43,-123.008785387,True
36,-113.258189988,True
39,-107.434637024,True
58,-35.7249657431,True
53,-55.738178277,True
50,-42.1344759784,True
65,8.002848347,True
52,64.1186964431,True
57,-38.8756646758,True
54,-13.9321809789,True
57,-29.6754233277,True
55,-53.325131699,True
55,-68.0448236557,True
50,7.28602158036,True
55,-46.6102870868,True
47,-95.0105816174,True
36,-105.133196179,True
41,-105.889775741,True
95,-42.6875423858,True
59,-94.7237406555,True
52,-78.6955363456,True
49,-109.914294398,True
46,-107.015084911,True
77,-35.8670069611,True
39,-108.869963037,True
56,-93.3970003965,True
55,-52.997814382,True
1001,1803.56176167,False
38,-110.266944719,True
39,-111.279920409,True
77,-61.7295979604,True
47,-93.5369515111,True
59,-36.5462097505,True
54,-63.5427926503,True
39,-97.6457280489,True
46,-79.1572203532,True
54,-57.3368145,True
55,-64.5592445324,True
73,-22.090244925,True
50,-93.558490553,True
48,-79.3608205236,True
91,-85.7360940235,True
54,-18.8268294372,True
57,-74.3851874603,True
56,-60.2353240899,True
52,-43.5402077445,True
58,-64.2648407133,True
55,-38.1254016582,True
1001,861.876455192,False
67,-114.569704016,True
1001,1030.12015947,False
49,-99.6381098301,True
48,-85.7280856666,True
52,-65.3181859851,True
45,-92.7050070352,True
45,-83.8503752847,True
55,-65.6074082977,True
57,-53.6817570553,True
48,-47.4775670645,True
61,-46.503314394,True
52,-50.8243585163,True
65,-39.2741898196,True
1001,912.593980401,False
42,-109.086358341,True
38,-106.915227263,True
37,-110.460945946,True
38,-113.069897559,True
48,-109.542360744,True
40,-98.0180654652,True
39,-111.123954617,True
47,-91.591108801,True
1001,495.348308234,False
51,-77.1240555966,True
1001,947.05279027,False
32,-107.683192441,True
41,-105.90174791,True
49,-86.5463360004,True
44,-101.465953905,True
42,-98.6350469725,True
1001,669.019936247,False
1001,1113.89689554,False
52,-48.6422838266,True
37,-91.2384036389,True
58,-70.3617629447,True
41,-92.103019523,True
42,-102.056863798,True
39,-102.928606154,True
34,-107.36489595,True
43,-103.683477152,True
39,-105.165187709,True
59,-49.7480113989,True
42,-95.1564905115,True
56,-42.4716406118,True
104,-50.7122758494,True
37,-85.5996896197,True
53,-19.8608353167,True
57,-50.4523738498,True
62,26.0361222605,True
48,-34.5084408933,True
50,-34.1402626913,True
54,-50.2542668443,True
73,-53.4800218138,True
57,-36.5873887242,True
56,33.8029743843,True
48,-59.6491354424,True
55,-45.9446085896,True
47,-58.261772886,True
47,-38.174062146,True
53,-50.566709486,True
64,-6.32519052653,True
40,-67.2387324484,True
46,-61.080765047,True
42,-63.4597053193,True
47,-66.3972610208,True
58,-71.0691953568,True
41,-77.8839333034,True
46,-37.558895743,True
42,-72.2611777636,True
47,-62.634191406,True
51,-11.9908727528,True
45,-34.6302424458,True
38,-56.2259811465,True
53,-46.2316145765,True
54,-27.7149588157,True
47,10.109572984,True
58,-19.5710854893,True
50,12.9031055881,True
44,-58.0699067584,True
40,-22.2301873476,True
49,76.070485972,True
44,-14.4734137782,True
75,24.9653729991,True
77,39.0402853883,True
47,23.8134749515,True
66,-26.2804031163,True
69,58.2170272242,True
70,47.3192273717,True
1001,3846.74383949,False
47,-100.094157005,True
55,-100.163857362,True
197,-36.4375730826,True
44,-85.6022794575,True
76,-8.91714929811,True
54,-114.4109357,True
44,-89.1515571166,True
1001,2424.55050544,False
42,-61.5032986123,True
45,-46.404788914,True
59,-13.6691375876,True
45,-66.2936806805,True
50,-41.3297983281,True
49,-14.2539229578,True
46,-17.5092798135,True
48,-34.2132987918,True
41,-73.4270086744,True
49,-80.8978374057,True
48,-74.7489614982,True
46,-63.5116186741,True
43,-84.6590671564,True
42,-58.7520637916,True
45,-59.0271098012,True
1001,1323.23507719,False
45,-69.8497384255,True
83,-27.4763678847,True
68,-45.7831217251,True
46,-79.6142460915,True
31,-104.890286744,True
47,-68.2924037367,True
59,-70.7465314899,True
67,-50.4710371281,True
46,-40.9132857127,True
42,-65.041355485,True
55,-49.9644066184,True
44,-58.1294954452,True
41,-63.7281323432,True
40,-87.1947785993,True
32,-106.763129959,True
46,-34.1473188861,True
50,-60.5270550458,True
60,-49.2216335441,True
48,-51.4646939727,True
45,-98.9946794538,True
46,-27.9292222129,True
46,-25.2696069486,True
58,6.60501577691,True
56,-29.6562933697,True
77,-21.00806917,True
52,-8.23617895401,True
62,35.3882700909,True
51,-53.2861765709,True
50,-58.351253283,True
84,-64.630810059,True
46,-62.9558483891,True
48,-56.9675581687,True
40,-83.1362027706,True
55,-41.4740227041,True
40,-86.6071297909,True
47,-29.0730314756,True
49,-63.7626939985,True
49,-53.8762681448,True
52,-7.56596127013,True
47,-55.6567455435,True
48,-24.261758527,True
52,-23.0283546438,True
59,-46.5096789285,True
51,-27.4846554698,True
45,-49.83176554,True
59,-33.1731465751,True
58,28.1273673232,True
54,14.6396792062,True
57,14.9826023215,True
53,51.8867763697,True
46,108.772447915,True
55,-13.9008614292,True
48,-47.1904427184,True
57,7.6435608095,True
49,149.815012509,True
54,43.1366729107,True
63,34.2695364613,True
87,82.6736443368,True
72,70.0310100822,True
66,68.7709283532,True
72,85.5444499016,True
53,96.1104951886,True
50,115.660474185,True
50,8.49866287232,True
53,180.957524273,True
55,-18.4503364077,True
51,206.611370651,True
46,38.8030918155,True
54,-41.4389092183,True
50,133.659770249,True
51,177.879037926,True
51,23.5138214204,True
50,8.64459068948,True
71,111.4339784,True
53,169.307072301,True
50,-1.06449066744,True
47,-39.8578098108,True
49,154.406261076,True
50,13.9324123899,True
63,96.5863368339,True
50,83.2658603312,True
57,71.8990942193,True
54,95.2916696508,True
75,48.7643385985,True
45,-31.7317804786,True
54,-101.727600656,True
56,115.261979054,True
63,29.8808519837,True
63,99.7017715975,True
69,65.6849545248,True
64,34.6368323811,True
63,157.888674824,True
66,90.8102538519,True
62,26.4673645363,True
53,181.61924254,True
47,103.688987874,True
49,99.5733746499,True
63,72.6973493707,True
46,47.2287789504,True
1001,953.230398068,False
57,-38.4364302741,True
50,-66.2870775765,True
45,-52.572556348,True
40,-66.732277683,True
49,-46.6304713028,True
63,61.3485228835,True
1001,1510.44795202,False
58,11.1138139756,True
45,-62.3661955612,True
49,-42.6134683544,True
55,-36.8294219633,True
46,-64.042509214,True
60,3.54700179656,True
43,-46.0108149203,True
54,-50.4879881981,True
49,-41.7292279143,True
56,-19.5853963497,True
47,-23.699231848,True
48,39.8741590702,True
44,-19.3124256569,True
41,-10.0226559877,True
47,-47.7900739555,True
41,-30.1996645463,True
59,-29.5041597154,True
45,-2.46043636129,True
48,-3.10790808132,True
51,-20.8501312675,True
47,-13.191718615,True
49,33.5279478316,True
44,103.489443486,True
61,-13.9993758519,True
61,135.551175129,True
47,98.7263892198,True
49,43.3007998018,True
52,62.2357518994,True
1001,1069.24050724,False
50,-67.671165003,True
45,-29.9002978945,True
40,-77.4998951498,True
1001,1890.77289835,False
1001,1829.22248795,False
54,-118.905908011,True
47,-95.939164561,True
1001,1830.28189745,False
53,-49.2302465952,True
60,16.7119016913,True
62,-74.0868060301,True
51,20.2901031776,True
47,-53.2119075638,True
67,-59.0470249185,True
1001,1630.43641994,False
54,-85.2605890594,True
42,-67.7995184669,True
48,-25.5034156603,True
70,-29.0197207403,True
53,-9.19078854563,True
1001,2009.15607777,False
63,-30.2667952425,True
80,-12.733297086,True
67,-21.4227927875,True
54,-86.7903536228,True
44,-89.8668474306,True
1001,1865.57225026,False
54,-45.2432478207,True
46,-22.410752148,True
50,-46.4611660759,True
51,-44.8376579588,True
53,83.7548651564,True
66,5.15064947505,True
40,-57.1477011642,True
59,-27.6769640524,True
44,-48.0754952101,True
71,-31.01628122,True
53,12.9323515883,True
53,-9.75292580745,True
49,-43.7868973791,True
66,-57.3719214793,True
68,-28.7748422452,True
35,-106.507347449,True
65,57.6236049009,True
43,-12.9783104156,True
52,-46.7541704003,True
59,11.6438660624,True
56,-3.23654703201,True
50,1.73344942976,True
56,27.6747042529,True
71,21.527047385,True
46,-60.9551781454,True
43,-70.0045597906,True
50,-51.9808906806,True
49,-31.8791341375,True
39,-37.7603471844,True
68,-49.5464916307,True
45,-70.8609586165,True
67,-80.4584359315,True
1001,2018.19090973,False
45,-66.4000893206,True
33,-107.418546669,True
46,-110.768535433,True
53,-89.3918478729,True
51,-78.9831341844,True
47,-94.2149669321,True
45,-91.8131423438,True
48,-46.8410137313,True
48,-78.2869615789,True
1001,1745.77950762,False
1001,1419.71677577,False
1001,1566.05194135,False
76,-17.8912325698,True
68,-62.9328538513,True
53,-107.47755237,True
1001,1674.18042598,False
41,-107.22417818,True
58,23.9188691096,True
47,-77.4684176384,True
1001,1513.52292693,False
41,-82.2808649611,True
69,-55.7694158216,True
44,-71.257533326,True
41,-95.4620077723,True
53,-91.938794992,True
59,-39.7222422031,True
54,-60.5668993821,True
96,-114.328863734,True
46,-61.1138074469,True
55,-91.1130472471,True
50,12.5763068078,True
58,-9.97555827442,True
58,-48.2921384335,True
55,-7.56294646152,True
52,-93.5370072569,True
78,-68.7064409767,True
87,-27.4879668867,True
70,-94.8458264121,True
56,-93.3902608694,True
46,-84.8414059089,True
51,-77.3112946673,True
84,23.8430357546,True
44,-82.7700382894,True
48,-103.066280649,True
37,-106.950441782,True
43,-80.5662252553,True
1001,1708.12085487,False
63,-13.3834542523,True
47,-89.1297990964,True
1001,1561.5087883,False
43,-94.958724261,True
44,-92.210088113,True
56,-64.8063096517,True
42,-91.3065688041,True
43,-79.3927014055,True
63,-66.554711146,True
61,-94.1765638445,True
39,-88.3827980476,True
44,-78.715235398,True
41,-76.3906235965,True
50,-86.2470955114,True
55,-58.4079055464,True
41,-85.8672300998,True
57,-71.1412272614,True
70,-11.7194843019,True
50,-108.819240537,True
57,-110.578878278,True
94,140.012354435,True
55,6.9112548583,True
66,-37.3998318247,True
50,-18.2400795392,True
49,-65.4105627584,True
68,4.31572044601,True
44,19.0878576014,True
62,-29.7069186952,True
55,-9.13768965546,True
51,-58.9634346017,True
47,-66.844416639,True
49,-53.9090873893,True
49,-82.0395411139,True
48,-77.9489100028,True
42,-62.3090867341,True
52,-20.8034053359,True
52,31.0160975679,True
57,-24.1096641641,True
71,69.4342407502,True
53,-69.5105300366,True
48,6.95324008327,True
44,-20.2545590691,True
1001,1803.62747,False
58,62.6793446101,True
71,-49.8429468433,True
61,-43.5977451793,True
48,-49.2449997347,True
56,-60.3392467289,True
42,-47.1319224591,True
65,27.6013156514,True
32,-108.006285278,True
60,-32.1937479745,True
54,46.6609274271,True
48,-40.7716526234,True
61,17.274379571,True
45,-40.3794475854,True
46,-103.358102328,True
71,121.862580804,True
41,-87.7013395099,True
73,-26.8070650399,True
53,-30.4868403985,True
69,53.4283955893,True
65,20.9665564559,True
60,65.6695759324,True
58,75.4195708372,True
54,62.9461008367,True
58,-32.3004622879,True
61,-33.040305592,True
50,-33.2718167798,True
55,-34.2286046805,True
48,-10.3215959155,True
43,-42.9209159325,True
54,-12.6039950505,True
1001,1535.8158803,False
35,-105.263407302,True
34,-107.450233359,True
38,-103.285474127,True
46,-100.635061688,True
36,-101.642728409,True
35,-108.096609459,True
70,-28.1998561375,True
1001,1936.40351648,False
32,-108.258062613,True
73,-6.46027963891,True
67,-108.267815637,True
65,-32.5812845947,True
79,-66.6079384019,True
48,-45.0033877635,True
61,-23.685665178,True
63,-28.7320934371,True
51,-58.0298890576,True
60,72.5205469779,True
76,-21.3355394394,True
47,-28.3321940273,True
50,-3.01308768775,True
87,144.386559786,True
54,-42.9914672051,True
38,-78.2778794528,True
48,85.8381061819,True
63,-2.80119844508,True
1001,1695.31313454,False
67,57.1205363626,True
88,-102.602271572,True
66,6.31021741956,True
53,-15.3666419133,True
1001,1634.52815175,False
49,-88.7354398373,True
61,27.6422005565,True
70,-48.10469466,True
62,-35.6997196252,True
73,-89.5848011523,True
1001,1030.54056174,False
34,-105.504036169,True
50,-1.53165839959,True
50,-89.7185027278,True
39,-92.8504364401,True
54,-67.5246234292,True
40,-95.5832612068,True
1001,1356.63086841,False
1001,1131.19542175,False
55,9.03382016828,True
1001,1407.02321736,False
1001,1467.17635223,False
54,6.99894303707,True
56,4.38346131944,True
41,-82.9286166913,True
49,-50.2924241005,True
62,-64.4487452805,True
47,-76.6075903962,True
71,-31.0566232972,True
84,86.6065952435,True
1001,1551.95135261,False
53,-85.5159348231,True
47,-90.4366350404,True
73,-77.3200891855,True
57,5.16540426522,True
75,-28.2395245548,True
82,8.90403000876,True
107,146.097450848,True
94,25.1636274114,True
51,-37.0486436825,True
53,-25.0883560722,True
49,-51.2607576613,True
52,-99.739745106,True
1001,1324.96994059,False
37,-103.860809607,True
54,-37.8284052595,True
56,-25.1750044288,True
102,65.587844127,True
46,-44.7120014468,True
60,13.128532239,True
110,150.674365068,True
62,8.75663428069,True
56,-104.276494318,True
1001,1275.33950003,False
51,-60.5946447181,True
60,-74.0441791165,True
1001,1607.70525426,False
48,41.8446865474,True
74,40.0796308185,True
70,-64.5723425684,True
61,24.0017048579,True
53,-28.7532519909,True
48,-86.3884991507,True
77,-48.1327970423,True
1001,1641.32785176,False
47,-108.26769091,True
48,-13.5048912067,True
101,-27.813969116,True
49,-85.2671533649,True
53,-50.7780418902,True
58,-89.3227849394,True
48,-91.1092404882,True
37,-106.742925629,True
79,33.2721661488,True
62,-104.443756627,True
1001,1240.68426061,False
41,-105.300561621,True
51,-61.5047901448,True
87,-14.9933106192,True
97,12.1919149306,True
39,-111.066750607,True
47,-103.386679505,True
69,-102.700707183,True
1001,1420.68372597,False
43,-87.1851948787,True
1001,1265.16027051,False
98,-29.3043858976,True
57,-13.9872134422,True
100,91.4494386843,True
44,-67.3075935705,True
70,-19.4593363327,True
44,-106.703675046,True
65,-90.9797976725,True
53,-54.2521564575,True
60,206.161806349,True
90,31.2801000162,True
1001,1527.23069268,False
1001,1021.37019893,False
33,-108.541055134,True
37,-108.269855144,True
35,-106.320996358,True
1001,1123.64411575,False
59,-59.1699582274,True
36,-106.123817541,True
69,-100.815580671,True
56,-74.0005382187,True
86,-73.5769274346,True
91,-44.5888141585,True
73,5.49560002908,True
58,-10.0922017186,True
1001,1499.39841725,False
72,-86.3349594336,True
1001,1282.41962234,False
1001,1128.39510825,False
64,4.13534821991,True
1001,1511.9383264,False
1001,1372.21289836,False
40,-106.620294368,True
60,62.5209135467,True
45,-61.2762884652,True
69,-11.2402131251,True
53,-57.5387852647,True
49,-96.2117546506,True
74,-4.76856067976,True
1001,1420.51204256,False
37,-106.688725343,True
47,-110.016072714,True
37,-101.746970784,True
54,-56.7426914417,True
45,-105.299311208,True
35,-107.807451756,True
39,-106.484630036,True
52,-82.1023756416,True
53,-90.6245846993,True
61,-33.0756847381,True
38,-106.533137607,True
62,13.8368424267,True
42,-84.3382612678,True
63,-28.1568623337,True
44,-72.0378085919,True
54,-20.1351283507,True
113,192.028356586,True
1001,1508.32229322,False
60,-56.1504627123,True
59,-83.6726152185,True
64,-0.395103772824,True
1001,1513.77362982,False
75,67.5571190846,True
1001,1290.20312064,False
52,-81.3128092876,True
1001,1049.52207113,False
1001,1287.46936571,False
52,-89.0521242795,True
65,-58.2906527352,True
1001,1074.76095399,False
53,-59.4406296544,True
1001,1228.58223336,False
63,-92.5377255708,True
54,-86.1642066832,True
95,-79.1674220726,True
48,-87.2164182299,True
76,-75.4787781603,True
70,-58.437070341,True
49,-97.281022933,True
1001,881.154475544,False
1001,1204.3687158,False
1001,1273.6211255,False
37,-112.388261809,True
80,82.0880016136,True
60,-86.0122203647,True
58,-69.0697958132,True
64,-29.0705484144,True
80,-79.1307079579,True
49,-109.367560642,True
61,-38.2666335189,True
1001,988.164155915,False
1001,872.71448552,False
48,-98.1349686629,True
1001,1121.7149226,False
59,-58.2603452753,True
56,-87.1928452398,True
73,-93.9035990286,True
45,-105.709804916,True
36,-113.003147704,True
84,58.2929737864,True
1001,1603.68053983,False
100,-11.7381601624,True
1001,1494.79773134,False
88,-74.5605143938,True
58,-49.012032586,True
87,197.877648237,True
63,-16.1294166109,True
1001,1382.03742019,False
1001,1139.05035265,False
54,-69.1904834161,True
1001,985.950532151,False
66,-30.6651018621,True
103,-32.4767642941,True
1001,1198.25805211,False
43,-91.1256207422,True
69,113.529433718,True
1001,1047.91749523,False
63,-85.9408698679,True
51,-111.601158779,True
1001,1300.87656477,False
81,-60.015948213,True
116,-91.8707699319,True
1001,1163.99326296,False
40,-107.948429367,True
72,-82.0536220182,True
1001,1029.84029116,False
