num_timesteps,total_reward,fell
65,31.8324384189,True
1001,717.827572632,False
57,-114.98329625,True
1001,714.7202006,False
86,87.135262483,True
105,139.966820688,True
221,241.891258261,True
99,-118.441981907,True
58,-98.5630928201,True
1001,679.463738255,False
72,-116.325785385,True
1001,718.420520348,False
55,-107.464399355,True
104,278.699021357,True
1001,706.603836725,False
66,16.5210526157,True
109,24.9690864293,True
77,98.7691796794,True
43,-108.953625015,True
1001,890.865734267,False
96,-107.575243965,True
1001,620.449410805,False
1001,672.672653676,False
82,128.908315638,True
80,60.2155663637,True
1001,632.003913306,False
130,472.429035903,True
82,153.732950337,True
80,-67.361665807,True
1001,799.609364777,False
1001,927.590539054,False
1001,667.755464401,False
77,-41.1978059288,True
1001,689.935859511,False
64,-69.5053401765,True
65,104.117203154,True
96,347.494250505,True
47,-57.8776350025,True
64,8.52721481158,True
57,-31.4516394391,True
80,166.489863511,True
56,-115.163854615,True
1001,610.288296329,False
87,-77.8801657731,True
1001,852.11356949,False
1001,744.184439326,False
1001,646.634271293,False
96,357.986353349,True
1001,689.536859978,False
132,-100.183072803,True
134,303.397747165,True
75,-115.080099626,True
51,-0.888385985414,True
1001,947.526126421,False
1001,830.76019092,False
80,-117.392869397,True
94,-121.151711158,True
86,314.061418075,True
1001,792.270930277,False
122,315.06123351,True
142,254.74664742,True
77,-109.098027323,True
102,-100.23088431,True
80,16.2566773262,True
131,-94.1495252758,True
54,-115.7174847,True
48,-66.9689896506,True
1001,831.263564603,False
1001,803.746799231,False
133,140.99934144,True
78,-109.182340851,True
62,72.3490789404,True
1001,848.239478631,False
95,182.923112171,True
74,14.0408916362,True
1001,656.281497213,False
1001,890.337720613,False
65,-89.5336731046,True
70,-16.5780879136,True
63,90.7055342769,True
60,-117.722172914,True
77,133.93359071,True
1001,1006.53356012,False
68,-64.443614769,True
63,-118.633309275,True
1001,966.425329446,False
52,-95.8882921746,True
79,-4.29042058298,True
1001,953.898610395,False
67,78.8122861407,True
61,-110.281576082,True
89,-101.665174191,True
109,319.381157914,True
67,168.306097251,True
84,92.6642932846,True
1001,764.591323852,False
82,220.81116251,True
1001,744.55264942,False
78,85.5248336878,True
1001,833.316554802,False
68,-52.3651360072,True
70,187.678859015,True
56,-104.215867426,True
1001,671.005372,False
78,-115.816470457,True
111,-94.1485368035,True
1001,676.630444791,False
1001,872.012519849,False
64,-114.643982436,True
1001,803.902535343,False
1001,526.320526413,False
66,-105.75233535,True
48,-110.24140375,True
1001,552.999396715,False
69,-90.5873166361,True
67,-46.5099714618,True
141,3.65234783543,True
1001,750.981054001,False
65,-75.5109008274,True
