num_timesteps,total_reward,fell
64,-88.4375944878,True
1001,776.106446313,False
81,129.083017398,True
1001,663.410389557,False
70,161.964306526,True
1001,699.266853963,False
107,159.342343789,True
64,-114.768710295,True
84,159.482550321,True
83,310.107452639,True
81,-114.182725012,True
56,51.0459548753,True
1001,745.4610496,False
1001,990.779041785,False
68,-113.604631506,True
86,230.853062813,True
83,-18.9593437383,True
243,632.205148057,True
92,240.261775873,True
90,180.008513427,True
58,-115.387450971,True
76,-11.1286282046,True
1001,829.299393102,False
65,-94.0359760169,True
1001,399.920115743,False
80,233.163579875,True
102,249.00943897,True
82,-95.6489354132,True
1001,688.260610581,False
1001,740.233396659,False
78,168.83508773,True
77,-32.3264770719,True
1001,785.958600979,False
69,-109.989578813,True
85,218.770038369,True
1001,658.13407373,False
115,-90.1877007997,True
65,-100.584388247,True
65,10.9331490825,True
64,-47.1945035324,True
65,-103.500244928,True
1001,814.721542076,False
105,360.723748117,True
1001,664.034631475,False
1001,636.925085604,False
70,152.172026641,True
72,-44.7837990259,True
1001,813.35321558,False
98,-97.102864635,True
99,292.282875277,True
56,-115.205703923,True
74,58.8020480403,True
1001,491.771538173,False
71,-92.4536766563,True
145,433.614643509,True
1001,746.595107563,False
70,-109.022447581,True
1001,538.767287018,False
1001,520.094464117,False
1001,687.670953553,False
1001,790.665482406,False
108,-104.932398021,True
84,162.86710379,True
1001,784.483142995,False
92,283.815072982,True
61,-105.163434959,True
1001,808.97234747,False
101,255.90151283,True
110,472.252939769,True
67,82.9910362517,True
1001,701.673333381,False
1001,753.175961819,False
94,83.4471619909,True
180,-48.6943805686,True
1001,599.886592093,False
144,-108.853684309,True
81,-113.666029402,True
1001,647.433481396,False
90,176.187025434,True
152,426.644268123,True
81,61.8128407394,True
152,550.11208881,True
91,-95.6802284087,True
92,198.619642178,True
86,390.343432678,True
200,-121.656871924,True
147,-68.8756582356,True
1001,743.82260558,False
89,-86.3668018799,True
70,330.616797323,True
86,215.620619746,True
77,159.848173458,True
1001,703.338322607,False
74,178.16743085,True
85,-103.88158173,True
82,202.388474371,True
111,198.607045734,True
86,331.880426003,True
108,-121.208358914,True
1001,664.5404879,False
87,237.95782232,True
105,422.6037992,True
116,-101.188419678,True
68,14.9737039148,True
83,383.921176874,True
78,279.995775467,True
136,475.660897875,True
108,162.608560653,True
143,574.67196972,True
118,-51.0066359545,True
1001,497.734126257,False
100,418.75659334,True
169,-98.7831064887,True
112,-118.410394089,True
100,-118.294198756,True
