num_timesteps,total_reward,fell
75,198.399470688,True
1001,859.811458495,False
1001,787.076394189,False
59,-11.5165032318,True
1001,677.478581758,False
94,179.655129981,True
73,152.850707272,True
84,154.819908609,True
1001,797.526423654,False
1001,808.197417585,False
1001,647.651261442,False
61,-88.4206852862,True
85,-103.213477254,True
72,192.650972574,True
191,-80.0985516008,True
143,-102.161964378,True
66,29.759523262,True
64,-110.511090736,True
86,154.407330151,True
137,-108.195214532,True
1001,667.983672396,False
1001,802.477149302,False
102,223.158541607,True
1001,512.890084088,False
94,161.587814543,True
73,-113.579252344,True
111,241.92240598,True
1001,757.913918871,False
74,-75.1267929691,True
1001,681.348825757,False
188,-54.6212179822,True
1001,733.095427593,False
61,-56.1213562527,True
61,-67.4580495418,True
74,190.017014253,True
1001,691.095909355,False
59,-102.125747996,True
1001,404.583936131,False
65,-113.097450887,True
79,-108.662468442,True
123,-109.577443643,True
130,409.797798124,True
86,350.850118146,True
125,521.654963141,True
83,-93.1017905227,True
1001,771.928383479,False
1001,450.390548971,False
63,-115.63557531,True
82,350.410424763,True
66,-83.2746597604,True
1001,549.48776088,False
65,-63.4709645628,True
76,288.771359569,True
77,-45.4254451177,True
109,-101.456127533,True
86,374.967597485,True
102,-80.3984534977,True
71,227.656983575,True
132,313.804840693,True
59,-3.54780337226,True
75,143.890639737,True
1001,699.843719847,False
99,433.215172842,True
62,-93.7390963211,True
1001,475.199880877,False
99,402.635273184,True
1001,641.291274104,False
1001,556.64319951,False
123,487.439617785,True
78,159.738440801,True
187,353.035234168,True
89,-119.827481725,True
106,160.179010837,True
91,190.131788323,True
1001,780.908815462,False
82,228.820239124,True
73,-62.8614376002,True
1001,723.996979036,False
1001,792.6479754,False
1001,761.615464354,False
51,-106.844605863,True
1001,719.135983379,False
98,-83.4849697324,True
86,218.417310457,True
58,-102.577099889,True
1001,688.156246453,False
69,237.676237517,True
69,301.035306451,True
108,497.438800678,True
1001,629.817659354,False
103,-45.5922594645,True
81,-70.6461949811,True
1001,452.007864417,False
72,-7.69312580625,True
121,514.13418776,True
1001,535.869806726,False
75,-99.7183457225,True
94,-64.3217060016,True
1001,519.669962192,False
78,20.8421391521,True
1001,826.541301082,False
85,325.759659495,True
1001,492.113048748,False
1001,519.886071425,False
82,256.18294782,True
76,66.3598331884,True
138,461.601542705,True
56,32.0394104147,True
1001,581.907115545,False
85,366.139241869,True
1001,476.381623881,False
1001,629.756053667,False
124,-120.673290951,True
1001,533.168622427,False
68,53.3561113101,True
111,-113.109144704,True
78,55.9374983643,True
76,43.6821448556,True
1001,614.919870911,False
97,426.205290767,True
77,-112.724579912,True
72,267.029830351,True
1001,843.433006301,False
74,269.477155032,True
91,-115.287931202,True
1001,568.819845001,False
1001,748.268650801,False
