num_timesteps,total_reward,fell
78,-56.1677747281,True
1001,622.621236642,False
1001,452.631756808,False
115,299.657469215,True
77,-100.363219567,True
1001,672.406919365,False
64,106.32981986,True
67,71.5420591982,True
69,133.387069342,True
81,67.7025367923,True
1001,701.666300165,False
46,-86.0793658515,True
1001,845.728611528,False
102,-98.6545228373,True
127,171.825033945,True
84,-113.853557072,True
62,-103.041439529,True
79,164.770456122,True
83,430.560720139,True
91,353.987308958,True
110,-120.596430177,True
63,81.7957732887,True
1001,642.436270149,False
58,-114.106331554,True
73,28.1189354702,True
1001,505.498681399,False
77,-70.789377891,True
1001,589.779496874,False
70,126.952257035,True
71,141.783416637,True
96,250.270184349,True
93,-64.851303283,True
156,482.546020154,True
101,233.309060495,True
101,-67.3126523369,True
66,-28.6427590098,True
1001,872.984043572,False
148,455.110085548,True
91,17.5652524018,True
73,206.057522547,True
163,438.283495227,True
69,254.382281447,True
76,370.035259655,True
65,-89.7457692012,True
79,314.208236328,True
1001,604.062917774,False
103,400.425378327,True
1001,672.205965078,False
91,-100.547418132,True
98,19.8631587643,True
1001,742.255535395,False
113,119.63301419,True
78,203.36233045,True
101,137.123977458,True
70,129.548949357,True
78,-77.8168264786,True
57,-108.630341936,True
1001,859.703799422,False
72,242.643315235,True
118,154.196808577,True
66,-97.0643542024,True
89,388.334162267,True
139,-55.9141583954,True
1001,635.143149381,False
83,230.458356106,True
109,465.840818166,True
86,322.783935259,True
69,-61.5690394746,True
82,294.376459822,True
46,-104.713705694,True
75,225.695393624,True
108,351.102906883,True
76,-105.323942761,True
84,299.6702451,True
1001,696.472014223,False
88,162.081434943,True
109,-93.3725068903,True
80,232.533350877,True
1001,830.154497382,False
85,-118.984320384,True
71,-105.672398125,True
124,485.863241343,True
1001,797.14982052,False
