num_timesteps,total_reward,fell
63,-114.926078282,True
60,-113.207073451,True
49,-115.522884401,True
52,-120.715145271,True
81,-67.9273204483,True
82,-60.688930014,True
77,-100.104110626,True
1001,835.330716107,False
78,3.32846459904,True
90,-77.2805618524,True
60,-63.9696408484,True
86,-93.5770781683,True
77,-69.8661538479,True
94,-84.1783280017,True
102,-83.1305573523,True
55,-118.216321389,True
105,-78.5919410109,True
49,-115.195390298,True
56,-106.013574377,True
74,-59.2656217356,True
116,-25.634237909,True
53,-113.494673016,True
1001,739.118744421,False
42,-108.952325033,True
235,194.799867552,True
1001,1282.67152635,False
118,-104.121620461,True
1001,1077.83370555,False
89,19.6271255208,True
92,-21.7328202937,True
79,-113.888793711,True
84,-78.8448276643,True
60,-61.4908210453,True
1001,1069.06246946,False
120,97.6787755706,True
44,-113.980783703,True
84,5.04683415133,True
179,258.891680736,True
82,-18.4684851918,True
55,-69.5692432588,True
66,-101.080680351,True
87,-94.5780266026,True
1001,877.585020994,False
54,-86.8860247374,True
77,-36.4097156911,True
105,-61.5795115945,True
75,-87.6880201405,True
57,-109.365352181,True
67,-113.359512887,True
55,-112.174139287,True
44,-83.1123300274,True
94,-107.162482488,True
58,-98.3959224493,True
1001,653.435496526,False
104,-57.5571441586,True
65,-31.4061705792,True
68,-103.372225787,True
76,-109.267797175,True
50,-105.8882994,True
60,-100.16572727,True
115,12.2213446238,True
1001,746.055619423,False
40,-116.703860692,True
107,-94.2462599487,True
85,-26.9313937885,True
45,-115.150335138,True
113,-80.6539598969,True
81,-26.6763915446,True
117,-9.3554778128,True
1001,640.010214652,False
102,-71.1591443485,True
102,-120.042606731,True
94,-111.233483688,True
83,-46.5723988205,True
65,-108.312010289,True
97,-102.566558268,True
1001,723.145613361,False
62,-106.403577652,True
59,-93.6952609733,True
50,-98.2233290951,True
52,-115.734682483,True
55,-114.8525076,True
105,204.468746052,True
48,-96.8643866145,True
43,-112.585583568,True
51,-84.0657473712,True
42,-112.192886218,True
105,28.663467998,True
102,51.3166991163,True
79,-13.1176793468,True
81,-34.6795549143,True
51,-82.7504373048,True
50,-94.2032542511,True
76,-18.7373138309,True
162,-91.9729749582,True
76,-105.71312279,True
78,-77.3923680267,True
49,-69.383211079,True
51,-111.162074588,True
73,-102.668205412,True
1001,654.407679688,False
62,-98.087336217,True
1001,679.413016178,False
80,-50.2491013069,True
59,-111.460919012,True
113,-75.291540721,True
95,-77.9981081488,True
74,-113.629960634,True
50,-64.9323364552,True
1001,818.244924211,False
1001,669.820711102,False
1001,857.595026854,False
147,-69.9515209977,True
67,-67.9205810381,True
56,-117.758113369,True
88,-122.369257487,True
54,-101.479817079,True
65,-108.99908375,True
164,-56.4726504488,True
117,65.8798538101,True
79,205.721799678,True
122,-91.7348471572,True
121,-32.6916474346,True
57,-81.2076047268,True
65,-103.137159112,True
104,-75.7767678175,True
57,-117.034431313,True
98,-62.5712037205,True
86,-77.0237196756,True
57,-110.123991716,True
46,-107.469056913,True
69,-109.411730873,True
73,-27.1787575283,True
54,-100.833259885,True
1001,856.998247366,False
64,-67.1105308812,True
1001,819.386678226,False
40,-109.097769763,True
70,-95.7858680745,True
133,-60.1875806013,True
88,-101.192909928,True
71,-109.658017262,True
103,-80.4790937091,True
51,-93.6346334356,True
1001,853.234688723,False
1001,769.734017346,False
132,101.115440189,True
62,-101.31971135,True
130,-58.9482110938,True
107,-74.3776181648,True
56,-117.867218886,True
57,-107.174036095,True
80,-102.589872161,True
107,-5.31107946877,True
42,-116.830299266,True
77,-69.9597315141,True
