num_timesteps,total_reward,fell
115,149.004935063,True
67,-66.7351661227,True
92,235.804569799,True
81,243.14854738,True
97,231.658936378,True
111,457.80341135,True
82,312.794113904,True
84,-103.904662193,True
132,-114.36600044,True
80,273.864328364,True
1001,767.162050908,False
1001,736.206509569,False
1001,584.304898686,False
118,465.177628888,True
125,-111.068689525,True
1001,526.969654522,False
1001,514.036472347,False
94,298.093541256,True
175,568.358398186,True
1001,631.605989388,False
148,567.129218274,True
104,-117.457815883,True
140,590.775059344,True
103,5.31214019906,True
70,-5.06658030404,True
96,-107.855046848,True
1001,634.494987498,False
106,228.223048358,True
1001,665.593752386,False
86,233.25135356,True
1001,453.998227033,False
132,-65.3360111084,True
1001,573.250151505,False
71,167.79243424,True
51,-106.326195463,True
112,-119.731085435,True
98,472.730469245,True
1001,689.78749941,False
1001,503.607427893,False
145,431.709122513,True
1001,849.523599288,False
81,25.8699971209,True
1001,634.513024692,False
99,258.130091201,True
76,373.309842847,True
110,-115.783753636,True
94,-120.353806576,True
95,472.348203844,True
89,389.380731614,True
63,-84.7752619218,True
156,-101.83562125,True
123,-85.8665511811,True
83,-117.644773686,True
112,511.452983037,True
1001,393.631583071,False
1001,443.173894107,False
156,-46.3543074006,True
1001,742.582107879,False
81,204.695397304,True
215,626.515033255,True
88,-49.2580255047,True
72,-114.369337855,True
86,37.1108142008,True
132,523.916202253,True
1001,488.600509883,False
127,-46.3209498001,True
1001,800.301229658,False
86,244.258620857,True
90,303.559627742,True
57,-98.2222886743,True
93,371.276664374,True
1001,482.056002254,False
87,-98.1811578389,True
1001,583.876407384,False
93,401.397415043,True
92,421.054694712,True
93,-115.713629769,True
113,-90.0900330785,True
1001,554.475289613,False
100,128.661937703,True
118,481.976734545,True
1001,719.280161127,False
85,247.711147114,True
81,353.859829779,True
95,97.6376967373,True
75,75.8118517251,True
87,434.474040686,True
125,510.730513524,True
1001,834.069918435,False
95,291.483412911,True
103,-70.9364200526,True
127,-121.356266526,True
98,-66.38380996,True
1001,383.446904357,False
117,-118.231553703,True
82,329.25913048,True
72,233.841759075,True
1001,711.574845766,False
101,223.998511942,True
112,458.18388523,True
131,582.873620446,True
89,322.320006525,True
1001,990.127537058,False
77,-110.796766927,True
83,313.317804685,True
61,-108.501535733,True
110,382.820165149,True
98,-53.8158314894,True
107,493.004414286,True
181,554.711840597,True
88,-72.3341912877,True
79,285.677756008,True
127,540.356734882,True
70,-96.6557534489,True
70,193.048988953,True
1001,681.053750384,False
129,-121.287482258,True
70,-80.9940045628,True
76,326.236643121,True
76,-102.628430559,True
83,164.466732035,True
78,173.016369252,True
62,-105.299312749,True
