num_timesteps,total_reward,fell
100,-116.1545035,TRUE
70,-115.0582785,TRUE
51,-116.5581253,TRUE
49,-108.4451687,TRUE
164,-96.18220356,TRUE
131,-107.174278,TRUE
191,-96.22711712,TRUE
60,-102.3167334,TRUE
121,-115.3733768,TRUE
77,-115.4064792,TRUE
138,-95.35385044,TRUE
74,-114.6491015,TRUE
90,-104.1444175,TRUE
135,-102.6909844,TRUE
129,-99.37895581,TRUE
82,-117.1470892,TRUE
85,-97.05543316,TRUE
113,-86.34032468,TRUE
37,-118.5132806,TRUE
158,-55.76243364,TRUE
77,-113.881605,TRUE
57,-114.5682056,TRUE
76,-118.6634112,TRUE
109,-96.6375026,TRUE
75,-117.5448807,TRUE
42,-108.6976431,TRUE
55,-111.3265341,TRUE
71,-118.7860646,TRUE
83,-118.6894206,TRUE
85,-117.3938337,TRUE
239,-89.09468064,TRUE
73,-120.5543273,TRUE
83,-125.110775,TRUE
141,-110.502429,TRUE
149,-138.9557283,TRUE
51,-107.9122641,TRUE
107,-84.81362897,TRUE
61,-107.9881404,TRUE
34,-108.6197171,TRUE
122,-95.16786395,TRUE
73,-102.7328527,TRUE
83,-110.2724896,TRUE
92,-119.2059797,TRUE
85,-115.4143754,TRUE
72,-102.5952216,TRUE
157,-103.4394875,TRUE
69,-110.1482622,TRUE
1001,290.6093889,FALSE
59,-116.9587308,TRUE
53,-111.4960521,TRUE
43,-103.0679555,TRUE
60,-112.5545308,TRUE
1001,191.4051768,FALSE
1001,415.2992784,FALSE
1001,290.8790499,FALSE
45,-115.1275502,TRUE
116,-65.73680545,TRUE
51,-107.9878861,TRUE
56,-108.4088516,TRUE
142,-103.9941188,TRUE
55,-95.06108994,TRUE
49,-106.4760554,TRUE
53,-102.8190738,TRUE
48,-107.2575497,TRUE
1001,191.0623235,FALSE
1001,203.6377909,FALSE
39,-107.0009798,TRUE
77,-105.0605746,TRUE
93,-81.20018608,TRUE
1001,284.0999382,FALSE
1001,191.6745111,FALSE
81,-111.5223094,TRUE
63,-111.4488176,TRUE
46,-105.8048294,TRUE
